"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","r.grf","t0.grf","predicted.grf","r.grf.augmented","t0.grf.augmented","predicted.grf.augmented","r.grf.fonly","t0.grf.fonly","predicted.grf.fonly","Predicted_Double_Days","date.y","days_from_start.y","log_rolled_cases.y","lm.mse","slm.mse","grf.mse","augmented.grf.mse","fonly.grf.mse"
13047,2020-07-17,178,"Catoosa","Georgia",5.9061400193152,0.0141212625615513,-240.29622584497,6.00571967159366,0.0114548752327403,-336.966034271263,5.97905579830555,0.0126291086626509,-289.364287506825,5.99079813260466,0.0186195916307335,-139.964321575034,6.05070296228548,0.0187643378409679,-137.53471855395,6.05215042438783,37.2267659950091,2020-07-24,185,6.01789783895875,0.000148307760372041,0.00150870412210461,0.000734394084477887,0.00107617611648231,0.00117323960857641
13049,2020-07-17,178,"Charlton","Georgia",4.88280192258637,0.084052049562873,119.935685465865,5.46878898999745,0.0653457792948004,104.17264826717,5.28172628731673,0.0741347076966715,112.56947807354,5.36961557133544,0.0634654060036736,102.074152899915,5.26292255440546,0.0646210197466421,103.378281362401,5.27447869183514,10.9216536095243,2020-07-24,185,5.33271879326537,0.0185150984387066,0.00260023566292238,0.00136137223195188,0.00487151495898971,0.00339190941460286
13051,2020-07-17,178,"Chatham","Georgia",7.93405275605351,0.0479215331640408,12.3300066409633,8.27461081318978,0.0386705046398804,-26.5850466432779,8.18210052794818,0.0403057316643914,-18.4066238136629,8.19845279819329,0.0458342105847177,4.92189933890622,8.25373758739656,0.0444302855823281,-0.452292943396023,8.23969833737266,15.1229217590378,2020-07-24,185,8.19899307813398,0.00571804185496978,0.000285358251779694,2.91902414308334e-07,0.00299696129440032,0.00165691812968824
13053,2020-07-17,178,"Chattahoochee","Georgia",6.17170059741091,0.0150115040005864,-233.25107317106,6.27857765815692,0.0114048441433395,-362.356104224373,6.24251105958446,0.0126588219448761,-309.125825044224,6.25505083759982,0.0195674946496575,-138.196079921163,6.32413756464764,0.0203558041364607,-126.067085194338,6.33202065951567,35.4233995189608,2020-07-24,185,6.21774597014929,0.00370049426585826,0.00061330965473183,0.00139165313550187,0.0113191713799009,0.0130587046297824
13055,2020-07-17,178,"Chattooga","Georgia",4.42399081664963,0.0185307839714914,-60.9790975323253,4.55818551787394,0.0163137177252653,-93.0491198757652,4.53601485541168,0.0178891011580161,-69.4436777193552,4.55176868973919,0.0231283480985148,-14.0700390504688,4.60416115914418,0.0222428518714988,-21.5969878063288,4.59530619687402,29.9695930555653,2020-07-24,185,4.63055914144134,0.0052379413882751,0.00893862202085773,0.0062079352794287,0.000696853469361281,0.00124277010066668
13057,2020-07-17,178,"Cherokee","Georgia",7.52085387685129,0.0246500475136331,-127.074198920631,7.69264383117256,0.0199686494711209,-197.891685379374,7.64582985074744,0.0226171321406877,-154.225797051466,7.67231467744311,0.0264439113181902,-106.582526368336,7.71058246921813,0.026369842508329,-107.37344814192,7.70984178111952,26.2119764440121,2020-07-24,185,7.70048939008753,6.15527946882089e-05,0.00298766524087055,0.000793814432595581,0.000101870246336665,8.74672180153245e-05
13059,2020-07-17,178,"Clarke","Georgia",6.92475299580014,0.0373042207944693,-7.69027586529133,7.18816059582603,0.0302328909536883,-50.4206651398618,7.11744729741822,0.0321736810929433,-36.8227742791949,7.13685519881077,0.0370083945031193,-9.1506090545729,7.18520233291253,0.037109440507475,-8.64918184386434,7.18621279295608,18.7294582720016,2020-07-24,185,7.16372529760921,0.000597083798944693,0.00214165330167755,0.000722002209438084,0.000461263045419911,0.000505687446975625
13061,2020-07-17,178,"Clay","Georgia",4.14539977827125,0.0172431077397959,-62.4332589826156,4.26651834304607,0.0131551850670477,-136.214722163305,4.22563911631859,0.0151955074298274,-94.4274794411792,4.24604233994638,0.020811617880083,-21.7212395133497,4.30220344444894,0.0199630831106021,-30.0829144459058,4.29371809675413,33.3057806727894,2020-07-24,185,4.20041917285341,0.0043691003001578,0.000636045548386633,0.00208147337559327,0.0103600379442322,0.00870468920103222
13063,2020-07-17,178,"Clayton","Georgia",8.00168997809913,0.0277918713123429,-109.969779898669,8.19776216397389,0.0221854035173688,-181.984421971414,8.14169748602416,0.0252993285367373,-138.045598793266,8.17283673621784,0.0289190851958027,-98.8621708545586,8.2090343028085,0.0288592202779198,-99.4302643862467,8.20843565362967,23.9685030099274,2020-07-24,185,8.17847856251164,0.000371857285355042,0.00135284758757817,3.18302039293961e-05,0.000933653265088932,0.00089742730825374
13065,2020-07-17,178,"Clinch","Georgia",4.79224210857379,0.00910183625737169,-347.999357662578,4.85127287872908,0.00613097976002482,-601.426395531942,4.82156431375561,0.00755226188184118,-455.308454689716,4.83577713497377,0.0170891501997527,-103.554197283856,4.93114601815289,0.0172596547365394,-100.802418346046,4.93285106352075,40.5606582221962,2020-07-24,185,4.9262176414028,0.00561671745222023,0.0109523189876298,0.00817948520313851,2.42888973908304e-05,4.4002288995006e-05
