"cutoff","block.mse","block.mse.0","block.mse.last"
138,0.140701627441031,0.0565412117072122,0.0567614217678039
139,0.151013643323532,0.062291794509475,0.06241785886907
140,0.156739596307142,0.0657366836449527,0.0664716791872166
141,0.114749391095122,0.0494385637552593,0.0488265109013698
142,0.115523570072817,0.0475270489970596,0.046938333489244
143,0.109992900566534,0.0433728524832875,0.0432337325628562
144,0.115049808103464,0.0439988199206669,0.0440749448940539
145,0.118184739802063,0.0469239547957788,0.0473555156570399
146,0.118532672470176,0.0502336370876077,0.0508721694321477
147,0.114170886307541,0.0501978151314595,0.0500849506022879
148,0.12378632334077,0.0573676087637574,0.056925048988759
149,0.114811024394655,0.0548419068816238,0.0543806985651621
150,0.110921238905882,0.049655744224564,0.0491811832147919
151,0.104408667438262,0.0458909475845009,0.0453241789501874
152,0.106956278159768,0.0486768781085458,0.0484083470841868
153,0.119164116566929,0.0522607762171091,0.0527363187744134
154,0.114016799302514,0.048921806941298,0.0453293219814266
155,0.113582939372461,0.0459482153349925,0.0449008769290853
156,0.119385208981319,0.0484730531370215,0.0488598485328361
157,0.116313899886781,0.0447631791141861,0.0442158298588044
158,0.124367653395652,0.0492550863914113,0.0486921963990884
159,0.141027743403301,0.062491789928312,0.0618025321478097
160,0.137616341203165,0.0536714993216787,0.0532667620486572
161,0.137311063185637,0.0498054679517795,0.049749658044411
162,0.148723823051364,0.0536160866702357,0.0535627171905069
163,0.144197100284163,0.0484122739226324,0.0484526780478006
164,0.136739208501352,0.0441543125171713,0.0441553895186892
165,0.140859702374366,0.0427463575364106,0.0428756371895537
166,0.148109694788398,0.0452978582769704,0.046027170699527
167,0.147641106813938,0.0476884358320805,0.048733326010455
168,0.128037179751942,0.0384810657569902,0.038637964395303
169,0.135192841370745,0.0412876468912944,0.0416515766256007
170,0.138752778045847,0.0422083774941238,0.0421489990473335
171,0.142722067038115,0.0414036359326365,0.0417393173542788
172,0.126954020285267,0.0348045906673623,0.034643611541796
173,0.120822250213185,0.0331806479669114,0.0328661044808826
174,0.119760385558321,0.033837723116881,0.0336561412151394
175,0.114923091094411,0.0345152035545631,0.0344023701418446
176,0.116499164050119,0.0321612200603582,0.0326209111757475
