"cutoff","block.mse","block.mse.0","block.mse.last","lm.mse","slm.mse","compare.rmse"
97,0.11677069608143,0.0460512953915658,0.0433642355666256,0.0637889535146567,0.0808785773217171,0.175495351001847
98,0.113223566547654,0.0451976443155495,0.0436195829998645,0.0662172801775149,0.0865615982063804,0.188375617466089
99,0.102546638287262,0.0463868994234478,0.0451014316089448,0.0656464241230628,0.0902102296225737,0.171123882211099
100,0.105668510958163,0.0485425831517828,0.0472627518994495,0.0637226828261923,0.094352799010287,0.13878323293375
101,0.105544209666728,0.0474104065470811,0.0456902665155659,0.059635100713283,0.0952520129240753,0.124692061730496
102,0.0994021472673805,0.0467968408783123,0.0448325890203372,0.0581572359024133,0.100100423348368,0.121998958337242
103,0.0945240046937536,0.0436237146871928,0.0419133677011471,0.0598849515214297,0.104296051953104,0.163400833530744
104,0.0959347217517978,0.0435122414866877,0.042705383543607,0.0610701381765403,0.105199744062001,0.163767847121386
105,0.107984162187416,0.0474759236548057,0.0471711725725888,0.0686125037809678,0.11247552899817,0.170843132499954
106,0.116869925826582,0.0495375551506955,0.0484460427505296,0.0681774622110356,0.110825991180692,0.157036561859455
107,0.107578792053992,0.046147061402798,0.0452772689078364,0.0629062749101683,0.100738437388027,0.151614715289497
108,0.109074428769393,0.0421207652880574,0.0387970787732362,0.0637327038375316,0.0946099513304994,0.219777731451699
109,0.104322658142451,0.0376329481555424,0.0366819769477123,0.0733005516596892,0.100148681251889,0.292587474453601
110,0.115941087892717,0.0388468789545677,0.0389890483174967,0.0745316321779596,0.109957959923489,0.276729084641904
111,0.120380424511388,0.0406917086518283,0.0408796559329454,0.0636771650738626,0.0917551811983562,0.198761598567163
112,0.126576272906527,0.043225279250394,0.0436002653815458,0.0637730562933506,0.0847436740397731,0.173151484673292
113,0.120785462719733,0.0435835144895446,0.0436941477825987,0.0643182968133823,0.0851012713700468,0.17577768421851
114,0.127363464479557,0.0449668533484899,0.0451171243182746,0.0655149299295913,0.0878295475492863,0.170148153007003
115,0.114711152625236,0.0411752787026821,0.0410786854457389,0.0590889892543244,0.0847222106094449,0.166213252421268
116,0.109847087783134,0.0429756477693112,0.0424280326817254,0.05606592963503,0.085205184564932,0.130084771522452
117,0.106354031079447,0.0434326476182237,0.0429642009914271,0.0568975301752554,0.0865868872044612,0.131026240138886
118,0.10444118734467,0.0437447045736261,0.0434859763366396,0.0595478944846472,0.0915850915791137,0.145442268957098
119,0.0990838616588396,0.0424366469332172,0.0421877479713846,0.0586131763102807,0.0940332096082199,0.151609995781415
120,0.104794295547227,0.0470409802544654,0.0464224059987739,0.0583149973862788,0.0928802737006835,0.107776428729265
121,0.102351324563257,0.0475343426122448,0.0471581177206374,0.0631336235626627,0.0989062267986537,0.135733115220326
122,0.0982251012697948,0.0443897748898398,0.0442958812883037,0.0641759696712606,0.101986370885875,0.169201978517711
123,0.0990243535939857,0.0453993561112366,0.0454635335934916,0.0653424813441798,0.103341219071829,0.16586992044899
124,0.0991270386111147,0.0462780735897763,0.0464861273226651,0.0643778728320347,0.0993092713530447,0.15024569717735
125,0.0916931325579896,0.0416444277383516,0.040861755806314,0.0598524706142417,0.0972528274491229,0.173738587707489
126,0.0972825813927892,0.0444817580110857,0.0440422130043476,0.0590714845230843,0.102721490843893,0.136533239507752
127,0.101489634457228,0.044814044477415,0.0443339936322624,0.0605443356998384,0.107223649578073,0.144280028421793
128,0.10184522958208,0.0432063737104569,0.0430555642068106,0.0598010374394882,0.102154390862029,0.15148351700078
129,0.111673787427657,0.0498714991679571,0.0494966966022754,0.0699819929517523,0.107982480963642,0.159002016442935
130,0.114830779254112,0.0518468919508674,0.0517248961764823,0.0786751657949168,0.111760649770476,0.189167812656732
131,0.115487560260333,0.0524342022198458,0.0526883053130422,0.0804987601446095,0.11435558810179,0.190973924771671
132,0.11986855707966,0.0577872773418657,0.0577256785834229,0.0794421095745661,0.119538066172949,0.147569188088682
133,0.130728881651302,0.0648092262612185,0.0646762155930048,0.082409771778831,0.126032089676884,0.114103584787769
134,0.116720070507823,0.0533325412529591,0.0527984177390327,0.0727544231345992,0.118112826487404,0.148115427870815
135,0.114202904857046,0.0496184197716117,0.0489975345324721,0.0672852067610977,0.11300254552797,0.146649753675496
136,0.121876358160996,0.0509025930860591,0.0502080906773366,0.0753156858322576,0.102511401290708,0.183522661059878
137,0.125286909477707,0.0511744574813043,0.051585852746814,0.0922260542906813,0.0951670649609543,0.252108680170299
138,0.135158429751113,0.0554214050192188,0.0556212053160132,0.0876524965948975,0.0944330561790105,0.203404126000894
139,0.152458397060476,0.0625935620266865,0.0626973460975534,0.0781974929068399,0.0931529195139845,0.104577167421518
140,0.153614241396926,0.0650970391009831,0.0658436673243246,0.0870169411174442,0.0918657561178865,0.130128504798625
141,0.111376382445212,0.0487238671123172,0.0482106886266959,0.0804061936666778,0.0976262106314486,0.225668519992714
142,0.11161784558753,0.0471076779396237,0.0464661366986065,0.0682022825127553,0.0982961770149187,0.1745917066017
143,0.107586409693838,0.0426027211812877,0.0425535647064982,0.0620418840558321,0.0960962388692305,0.171818577193215
144,0.111779312658842,0.0436283391122014,0.0437268102348826,0.0645469517693484,0.097459613485009,0.176931406791714
145,0.114668018402954,0.0464355383983125,0.0468906944554497,0.0708393029756113,0.101886064379004,0.186408893270731
146,0.11769802650657,0.0502126639092809,0.0508496668000987,0.0737107371150233,0.108060590601893,0.169425337031123
147,0.111355749959967,0.0496448625828209,0.049553940607367,0.06818827077615,0.1116740220397,0.147519880981677
148,0.121181263857464,0.0570145436192534,0.0565964824938006,0.0699652659691901,0.116844243027876,0.100598773507473
149,0.10992765394084,0.0542075597482886,0.0537417026232863,0.0713630610432998,0.116986517627946,0.132201339279015
150,0.108379242122419,0.0497164561718223,0.0491170786026144,0.0689757115577304,0.1128931404674,0.156144337009867
151,0.102241644631205,0.0461046560640213,0.0453606606225936,0.0667822257586742,0.112317254372732,0.175844349099945
152,0.104771544827613,0.0487045358886029,0.048376303720775,0.0751344748244159,0.118061520193294,0.197589295807421
153,0.11294046252303,0.0509674146973835,0.051469264403916,0.083945015671758,0.114542503598168,0.216973385917318
154,0.111455503589435,0.0491759996897262,0.0453372936563675,0.0766691875785737,0.102635411473201,0.231015890798619
155,0.111146820115373,0.0460562495022769,0.0449052623989577,0.0830551824448319,0.112667574249352,0.2646988402566
156,0.115393844205429,0.0485043920806723,0.0486572096685813,0.087406031327005,0.127648034480072,0.253889934039783
157,0.111445427124562,0.0448938019113667,0.0441259567067264,0.0665564554099515,0.0987166455164903,0.185760859835846
158,0.118341120089964,0.0487877301658808,0.0481630931767777,0.0639859701483592,0.0966494784407927,0.132409464079197
159,0.140208467984789,0.0626162068470895,0.0618938468065377,0.0755134831063376,0.105408208887617,0.094660463842313
160,0.133582663501122,0.0538000467283985,0.0532264401712473,0.0727410228579436,0.100652268403125,0.144590618918304
161,0.135685522283444,0.0495360103177863,0.0494985209335213,0.0705273549994803,0.095044377948641,0.162244451986627
162,0.144097937147344,0.0532947174693333,0.053134295758397,0.0717180503283857,0.0933321202025434,0.139257539892266
163,0.141513919561941,0.0481043380773578,0.0481494839464085,0.0739559702349505,0.0881098776490844,0.193119539040657
164,0.132897892628564,0.0435119888092435,0.0435155040591835,0.0678349794757588,0.0824658440346068,0.19906889497224
165,0.140467686976997,0.0429435279582472,0.0430339183334036,0.0627753259903781,0.0770782354690421,0.172036946865013
166,0.145887911377801,0.0453666583320388,0.0460476384226428,0.0680698934408968,0.0717824938456962,0.17751848582886
167,0.147218222999681,0.0479066375088599,0.0489575353932373,0.0769816799191081,0.0663492715794299,0.202526829053335
168,0.125607254284772,0.0384489530620938,0.0385712348247958,0.0707070773019959,0.0609794339689062,0.26141526344595
