"cutoff","block.mse","block.mse0","block.mse6"
163,0.010290790132441,0.0102858505960367,0.010196908696374
164,0.0103617770454397,0.010436659888965,0.0102972101377276
165,0.0104252233480434,0.0101119268434673,0.0100412237159378
166,0.0097681943027699,0.0107369310471419,0.0105654064139832
167,0.0104494473564063,0.0101065144950376,0.0100664972256337
168,0.0102807085007532,0.00972114082449474,0.0095517148012755
169,0.0103622768527791,0.0093405412876194,0.00969798297648362
170,0.00971634199715167,0.00897075722118823,0.00901201205862551
171,0.00946470369398821,0.00872525504017532,0.00864485595682764
172,0.00912290143699823,0.0083690857658979,0.00810664080666516
173,0.00939777351827662,0.00839017050738696,0.00810230346085583
174,0.00931476423889428,0.00900389012336513,0.00878740263066679
175,0.0101069592375255,0.00950014736931929,0.00933516019061023
176,0.0107092936711361,0.00966703773429109,0.00934712274834408
177,0.0102325511014061,0.00916907275861996,0.00890194631201968
178,0.00918458602409894,0.00877935755018484,0.00851913799880919
179,0.00895127508230957,0.00814093794640229,0.00785141430928608
180,0.00890481383359763,0.00832501803090274,0.00802433738851947
181,0.00928119548272654,0.00876176388015279,0.00853615235570868
182,0.00986628344175946,0.0094407046798006,0.00935396312466718
183,0.00919236710288881,0.00957209621366694,0.00943526351408642
184,0.00985291239689635,0.00966167177633928,0.00954000150071064
185,0.0095728572829787,0.00987362250038691,0.00965326117126371
186,0.00895624785556092,0.00943790239650653,0.00910456930094443
187,0.00857271423959808,0.00879421643595545,0.00849317829299223
188,0.00882512924958011,0.00865008595082434,0.0083748079745433
189,0.00941223975334706,0.00903177940982562,0.0087655198738154
190,0.00870816026857258,0.0090602579920396,0.00879650481355034
191,0.00917909264224703,0.00901364757761528,0.00892228359422929
192,0.00915471774686604,0.00887273383734905,0.00875880511471306
193,0.00888702026184865,0.0087008066257863,0.00845206270553745
194,0.00884875698227018,0.00870067046405129,0.00863189696018794
195,0.00848183797109043,0.00848342172786198,0.00815706123911818
196,0.00810114109940419,0.0085572501109963,0.00811850836564116
197,0.0085647152598416,0.00883260990290997,0.00835000944707877
198,0.00798742107813457,0.0100809768773101,0.00974778027602517
199,0.00855427670294919,0.00962718420828466,0.00923437682834448
200,0.0078119441608829,0.00921203392910262,0.00881477219053361
201,0.00778776115091324,0.00903448503262794,0.00860592028711241
202,0.00771396454396675,0.00849924196186352,0.00811402948959928
203,0.00722072616777606,0.00782197877260858,0.00752449327754831
