"cutoff","block.mse","block.mse.0","block.mse.last"
339,0.0426001360488123,0.0125181459787483,0.0125111342780293
340,0.0356650004125872,0.00981517796209205,0.00970265572126665
341,0.0386205995407475,0.0115087025766208,0.0114482962138757
342,0.0425106816849008,0.0146184391364677,0.0145993651103535
343,0.0450745786594565,0.0177173923420816,0.017736032671503
344,0.0484383684577962,0.0220468604565195,0.0221260957121585
345,0.0459929909286603,0.0237215871624477,0.0237211546232924
346,0.0384472670471046,0.0188860386567172,0.018824657125682
347,0.0310486334063218,0.0147092948275034,0.0143201892828419
348,0.0335480734956567,0.0145249977969997,0.0142341530870539
349,0.0406386651524175,0.017702887670791,0.0176184747924123
350,0.0496180224305982,0.0230895442395084,0.0230778997662118
351,0.0562786412726404,0.027181142418967,0.0275357990540165
352,0.0689293022130879,0.0349083042649683,0.0354806897966157
353,0.0903552521595653,0.051697093477489,0.053516990244647
354,0.0524648833145246,0.0252308211653752,0.0240178193000219
355,0.0576898325022293,0.0253193010988468,0.0240670998749314
356,0.0671723200134643,0.0248490848162829,0.0243346664791375
357,0.0724130315839543,0.0270724144805038,0.0270080838825124
358,0.0911990897823323,0.0331965781870653,0.033554340829896
359,0.100202381530632,0.0379344166621623,0.0385373260159531
360,0.14313061760934,0.0526283187689428,0.054479642063671
361,0.0370438475342216,0.0151346094472919,0.014781200897161
362,0.0376563416479949,0.0147324931951623,0.0147027521087244
363,0.0427516911555965,0.0173181839561085,0.0175350467050503
364,0.0446024270994418,0.0177379481968005,0.0179691029740637
365,0.0439173105436609,0.0189488292064936,0.0192097642239839
366,0.042099343972592,0.0162933765107604,0.0158347567124919
367,0.0366634466062319,0.0132267786167189,0.013107524960298
368,0.0378641715263129,0.0138791762066262,0.0140067563058534
369,0.0327832813266252,0.0123453549337478,0.0123751806275223
370,0.0367285480430736,0.0159610296049929,0.0159976231637809
371,0.040216155479982,0.0204921504489986,0.0205781241177897
372,0.0369704126934983,0.0199012405935213,0.0197658216884917
373,0.0304398730869279,0.0178751687558255,0.0177449552692634
