"fips","county","new_rolled_cases","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
38025,"Dunn",0.142857142857146,"North Dakota",206,"2020-08-14",3.42006586596654,-580.593225505321,0.00438543424395787,3.48025090690402,3.45343474808095,3.45076390567425,158.056680821276
38031,"Foster",0,"North Dakota",206,"2020-08-14",3.25809653802148,104.723834298489,0.0325037757209418,3.51938420588543,3.49391877213185,3.48562296806807,21.325128086992
38035,"Grand Forks",10.7142857142857,"North Dakota",206,"2020-08-14",6.55271165677549,-326.197739252042,0.0123125507184318,6.63889951180451,6.63615601469678,6.63889951180451,56.2959858124532
38039,"Griggs",0.714285714285715,"North Dakota",206,"2020-08-14",3.55942138687705,48.2820687628524,0.02205107075889,3.63220675696832,3.72065112435072,3.71377888218928,31.4337198469375
38051,"McIntosh",2,"North Dakota",206,"2020-08-14",3.59535339610311,136.854776501465,0.050410216866954,3.83849722994384,3.94586463304504,3.94822491417179,13.7501328825731
38053,"McKenzie",0.857142857142861,"North Dakota",206,"2020-08-14",4.50456027308886,-142.667997521558,0.0129193396156478,4.59499565039839,4.59536105552512,4.59499565039839,53.6519049100939
38055,"McLean",5.57142857142857,"North Dakota",206,"2020-08-14",4.30983989269805,155.803481293512,0.0810661924263605,4.6367039915781,4.85415354302753,4.87730323968257,8.55038530629882
38057,"Mercer",1.14285714285714,"North Dakota",206,"2020-08-14",3.42472787907235,122.247457059258,0.0406066936616362,3.68516071020918,3.72364042504862,3.7089747347038,17.0697763855324
38059,"Morton",14.5714285714286,"North Dakota",206,"2020-08-14",5.98285617257138,64.7754876509261,0.0423641482137546,6.27940521006766,6.27618470091414,6.27940521006766,16.3616456316451
38061,"Mountrail",3.71428571428572,"North Dakota",206,"2020-08-14",4.92725368515721,-33.8790251279474,0.0203767922430152,5.03060260419031,5.06774769759557,5.06989123085832,34.0165013360994
38063,"Nelson",0.285714285714288,"North Dakota",206,"2020-08-14",3.2470467018349,111.844471899809,0.0335172886955249,3.39045903848239,3.48024719076524,3.48166772270357,20.6802879211555
38067,"Pembina",0,"North Dakota",206,"2020-08-14",3.29583686600433,-819.834578990862,0.00329034521996888,3.39838232000115,3.34388841096477,3.31886928254411,210.660928936357
38071,"Ramsey",2.42857142857143,"North Dakota",206,"2020-08-14",4.30983989269805,88.5690315642037,0.0357148081274347,4.44402816279535,4.54666087683204,4.55984354959009,19.4078371662172
38073,"Ransom",0.142857142857142,"North Dakota",206,"2020-08-14",3.3322045101752,-115.246937671245,0.0103727199217235,3.40481354962726,3.40929103500542,3.40481354962726,66.8240524944947
38077,"Richland",1.57142857142857,"North Dakota",206,"2020-08-14",4.70695288029804,-39.8794975718345,0.0189823124546531,4.80023763628426,4.83899973662285,4.83982906748061,36.5154236195303
38079,"Rolette",4.85714285714286,"North Dakota",206,"2020-08-14",4.34750912979117,162.301548992609,0.0966193494248794,4.89845135318328,5.01725165821699,5.02384457576533,7.17399966658708
38085,"Sioux",4.28571428571429,"North Dakota",206,"2020-08-14",4.4576640488795,124.638571742907,0.0530610566597684,4.68855075128766,4.82381678261727,4.82909144549788,13.0631997211148
38089,"Stark",17.8571428571429,"North Dakota",206,"2020-08-14",5.70282963990093,76.3655622797004,0.0439916255293628,6.01077101860647,5.99747027804068,6.01077101860647,15.7563438999837
38093,"Stutsman",0.428571428571431,"North Dakota",206,"2020-08-14",4.84867643182119,-429.861804251876,0.00768714998417013,4.94177510837839,4.90278234823058,4.90248648171038,90.1695923700355
38097,"Traill",1.14285714285714,"North Dakota",206,"2020-08-14",4.03550406219917,43.3549782548501,0.0247602747296644,4.20045734492979,4.20491904004053,4.20882598530682,27.9943251085785
38099,"Walsh",1.28571428571428,"North Dakota",206,"2020-08-14",4.66478589566244,-337.96543050088,0.0085999341624306,4.7382664280828,4.72550423254953,4.72498543479945,80.5991263965724
38101,"Ward",6.42857142857144,"North Dakota",206,"2020-08-14",5.46322629486481,17.7109794940398,0.0288713543617659,5.63825851398974,5.66935004896812,5.66532577539717,24.0081283293684
38105,"Williams",5.14285714285717,"North Dakota",206,"2020-08-14",5.63835466933375,-65.4682863128862,0.021007244022453,5.84985124308911,5.78652291845687,5.78540537749092,32.9956266428425
39001,"Adams",1.28571428571429,"Ohio",206,"2020-08-14",4.14539973302238,-33.8200403026981,0.017285460079942,4.26639795358197,4.26525283726838,4.26639795358197,40.1000133843281
39003,"Allen",17.7142857142857,"Ohio",206,"2020-08-14",6.65819441435022,-111.308464185121,0.0209833495348103,6.80507786109389,6.80282783829686,6.80507786109389,33.033199938363
39005,"Ashland",2.71428571428569,"Ohio",206,"2020-08-14",5.0201140380508,-64.2497407164774,0.0185758329489665,5.15014486869357,5.15308974182665,5.15014486869357,37.3144602701926
39007,"Ashtabula",3.28571428571433,"Ohio",206,"2020-08-14",6.35312703255775,-607.255010235223,0.00781197404577956,6.40781085087821,6.40965410410466,6.40781085087821,88.7288125252311
39009,"Athens",1.42857142857144,"Ohio",206,"2020-08-14",5.88729379958574,-949.390778471189,0.00509550007606586,5.9229623001182,5.92662064120058,5.9229623001182,136.031237408029
39011,"Auglaize",6.28571428571428,"Ohio",206,"2020-08-14",5.58885250798222,-41.9069736888211,0.0225441520455067,5.74666157230077,5.74165693475531,5.74666157230077,30.7462076710974
39013,"Belmont",2.14285714285722,"Ohio",206,"2020-08-14",6.43660813903432,-712.135005431361,0.00705398032057367,6.52588412218664,6.48529249811809,6.48598600127834,98.2632710979231
39015,"Brown",3.85714285714286,"Ohio",206,"2020-08-14",4.95482051498986,36.9546444367267,0.0297163335126981,5.23142249927975,5.17142028709185,5.16283484957875,23.3254610722334
39017,"Butler",34.8571428571427,"Ohio",206,"2020-08-14",8.00388830634406,-461.622410443024,0.0119886453497461,8.08780882379228,8.08770164445478,8.08780882379228,57.8169726719477
39019,"Carroll",0.714285714285722,"Ohio",206,"2020-08-14",4.72231809936209,-799.556221440129,0.00469622483425036,4.75519167320184,4.75632294353052,4.75519167320184,147.596677123443
39021,"Champaign",4.71428571428572,"Ohio",206,"2020-08-14",5.20870520785835,50.5291828213166,0.0335027840104034,5.44322469593117,5.42984851219957,5.44322469593117,20.6892412387193
39023,"Clark",14.5714285714284,"Ohio",206,"2020-08-14",7.07689509907402,-411.416032519135,0.0114621174804927,7.15712992143747,7.15828740271798,7.15712992143747,60.4728735104668
39025,"Clermont",14,"Ohio",206,"2020-08-14",6.8626084697275,-275.09865628842,0.0142644515423742,6.96245963052412,6.96178195617523,6.96245963052412,48.5926275188971
39027,"Clinton",3.14285714285714,"Ohio",206,"2020-08-14",5.13158790451392,-124.88626182415,0.0155086157890747,5.24014821503744,5.23949182146079,5.24014821503744,44.6943292674929
39029,"Columbiana",10,"Ohio",206,"2020-08-14",7.42450617076751,-856.931347394709,0.00698493481160876,7.47340071444877,7.47301741112816,7.47340071444877,99.234595490849
39031,"Coshocton",1.28571428571431,"Ohio",206,"2020-08-14",5.27592567623314,-501.362887971585,0.00745858422310258,5.32813576579486,5.33035941534905,5.32813576579486,92.9328086707069
39033,"Crawford",1.28571428571428,"Ohio",206,"2020-08-14",5.17048399503815,-585.63851127682,0.00653136996417565,5.21620358478738,5.2164957140482,5.21620358478738,106.125848690525
39035,"Cuyahoga",121.571428571429,"Ohio",206,"2020-08-14",9.52920960117902,-796.315319205896,0.00950719740443429,9.59575998301006,9.59756114112249,9.59575998301006,72.9076247261524
39037,"Darke",8.14285714285717,"Ohio",206,"2020-08-14",6.01859321449623,-32.2008390458828,0.0254188437929755,6.23272182561382,6.19407614490678,6.19652512104706,27.2690286861709
39039,"Defiance",2.57142857142858,"Ohio",206,"2020-08-14",5.01063529409626,-50.2905770779905,0.0195506028790575,5.14748951424966,5.15093097061086,5.14748951424966,35.4540054262185
39041,"Delaware",17,"Ohio",206,"2020-08-14",7.2012774079156,-341.016133655247,0.0131934991229548,7.30941137348333,7.29530338171682,7.29363190177628,52.5370240373887
39043,"Erie",8.85714285714289,"Ohio",206,"2020-08-14",6.39430717189172,-192.163666698549,0.0160663703975992,6.50950954082833,6.50859956698734,6.50677176467491,43.1427362500942
39045,"Fairfield",20.1428571428571,"Ohio",206,"2020-08-14",7.25680119575638,-267.231827098279,0.0153345586247928,7.36414310612993,7.36384864641813,7.36414310612993,45.2016388289956
39047,"Fayette",2.42857142857142,"Ohio",206,"2020-08-14",4.78510795142677,6.77873640112634,0.0237103165018801,4.88957142934693,4.95262501366581,4.95108016693993,29.2339910563819
39049,"Franklin",183,"Ohio",206,"2020-08-14",9.83746221234499,-766.387410922104,0.0101168136298847,9.90827990775418,9.90884343977087,9.90827990775418,68.5143767512349
39051,"Fulton",1.85714285714286,"Ohio",206,"2020-08-14",5.02763287046483,-243.712578491567,0.0111796580992433,5.10589047715953,5.10818018555007,5.10589047715953,62.0007494331926
39053,"Gallia",3.28571428571428,"Ohio",206,"2020-08-14",4.27268997063642,59.6764956133203,0.0288510904421169,4.42355029196241,4.47888748192417,4.47464760373124,24.0249907347726
39055,"Geauga",1.71428571428567,"Ohio",206,"2020-08-14",6.32717118461052,-794.802660843514,0.00632209668515244,6.37142586140659,6.37587056215764,6.37142586140659,109.638813684677
39057,"Greene",14.7142857142858,"Ohio",206,"2020-08-14",6.57766264932496,-161.232558936777,0.017911436470581,6.70304270461903,6.70453235125572,6.70304270461903,38.6985813057719
39059,"Guernsey",0.714285714285708,"Ohio",206,"2020-08-14",4.77671964580014,-357.04265192415,0.00848376162885016,4.83610597720209,4.83894014393416,4.83610597720209,81.7028118992412
39061,"Hamilton",72.5714285714294,"Ohio",206,"2020-08-14",9.18784641200533,-882.290301061771,0.00844245915179192,9.24694362606787,9.25005300374088,9.24694362606787,82.1025210898207
