"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future0","predicted.grf.future6","Predicted_Double_Days","predicted.grf.past","predicted.grf.past0","predicted.grf.past6","block.mse","block.mse0","block.mse6"
4015,"Mohave","Arizona",106,"2020-05-06",4.89890533015295,5.3852427465022,0.0469172160853921,5.04898482003937,5.15473719455729,5.22732584275069,14.7738343915883,4.8310760387705,4.7251064089635,4.8310760387705,0.00460081276944535,0.0302060650066169,0.00460081276944535
4017,"Navajo","Arizona",106,"2020-05-06",6.67690352422461,-29.3605161457833,0.0493268178516221,7.02219124918596,7.10872550570643,7.02219124918596,14.0521365607847,6.8516190604189,6.95956408294686,6.8516190604189,0.0305255185876582,0.0798969914571749,0.0305255185876582
4019,"Pima","Arizona",106,"2020-05-06",7.19013761833901,-123.400976539985,0.0313430994356981,7.4095393143889,7.46042846904457,7.4095393143889,22.1148256885689,7.29888642855744,7.33896515808841,7.29888642855744,0.011826303723924,0.0221496365878591,0.011826303723924
4021,"Pinal","Arizona",106,"2020-05-06",6.10861246048198,-43.8074492820052,0.0407764266046798,6.39404744671474,6.40782932764048,6.39404744671474,16.9987229945351,6.2029966241976,6.22711164860578,6.2029966241976,0.00890837036029704,0.0140420575859997,0.00890837036029704
4023,"Santa Cruz","Arizona",106,"2020-05-06",3.53472877428668,12.9575362829568,0.0394528852390157,3.9469638400569,3.93761538717955,3.81089897095979,17.5689858006755,3.70267480662074,3.88485499764251,3.84640752668266,0.0282058697767531,0.122588372281417,0.0971436446951145
4025,"Yavapai","Arizona",106,"2020-05-06",4.59943951127911,-40.145776955484,0.0314715868435945,4.81974061918427,4.75293605082041,4.81974061918427,22.0245386419409,4.55402858928695,4.57489572318732,4.49694176931752,0.00206215183617807,0.000602397533894672,0.0105057871072246
4027,"Yuma","Arizona",106,"2020-05-06",4.61370508843793,41.6883199280208,0.0717397692499116,5.11588347318731,4.96812106244802,5.11588347318731,9.66196557094166,4.28831037567839,4.30225077858474,4.4624637228125,0.105881719091864,0.0970037871261272,0.022873950676245
5007,"Benton","Arkansas",106,"2020-05-06",4.67416305747504,-43.7495921384396,0.0312131939107647,4.89265541485039,4.92132954813834,4.89265541485039,22.2068649091657,4.75833982985908,4.71832651474703,4.75833982985908,0.00708572900899457,0.00195041095821491,0.00708572900899457
5019,"Clark","Arkansas",106,"2020-05-06",3.43858491373377,-53.0732478677712,0.0231090015939641,3.83778694969113,3.63262153089673,3.60034792489152,29.9946831429095,3.61413681074634,3.63205797192293,3.49782217380574,0.030818468544712,0.037431824245066,0.00350905298083418
5023,"Cleburne","Arkansas",106,"2020-05-06",4.28457129852317,-150.004665820306,0.0169771958790436,4.46508172873375,4.50133006665972,4.40341166967648,40.8281311883522,4.42502909044527,4.53215660078685,4.42502909044527,0.0197283913116319,0.0612984818969977,0.0197283913116319
