"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days","predicted.grf.past","block.mse"
12086,"Miami-Dade","Florida",65,"2020-03-26",5.79735955177369,42.521595481907,0.254036084970203,7.48857847494429,2.72853827298294,NA,NA
13067,"Cobb","Georgia",65,"2020-03-26",4.4014790606007,43.9012319624404,0.214829376435404,6.03644081611199,3.22650091929287,NA,NA
13121,"Fulton","Georgia",65,"2020-03-26",5.04250303294428,42.5599675487775,0.228240958092135,6.71942121293056,3.03690970434912,NA,NA
17031,"Cook","Illinois",65,"2020-03-26",6.93634273583405,38.8851154387735,0.263489121844199,8.72541185300959,2.63064818656841,NA,NA
17043,"DuPage","Illinois",65,"2020-03-26",4.62637239363869,45.1745327629899,0.239350953025702,6.42070114853811,2.89594493691243,NA,NA
22051,"Jefferson","Louisiana",65,"2020-03-26",5.55848141010592,44.0931216863904,0.250163029412989,6.98126922039221,2.77078184648797,NA,NA
22071,"Orleans","Louisiana",65,"2020-03-26",6.41205281679037,38.6087767249356,0.247462621437572,8.26307964465469,2.80101769121042,NA,NA
23005,"Cumberland","Maine",65,"2020-03-26",4.16111273868694,45.0777553268089,0.215339074997752,5.79741126478813,3.21886392688917,NA,NA
24031,"Montgomery","Maryland",65,"2020-03-26",4.59511985013459,45.7382809578609,0.243348002046828,6.39073685921969,2.84837835005755,NA,NA
25017,"Middlesex","Massachusetts",65,"2020-03-26",5.67479493778295,36.8488047639264,0.201662339152049,7.08867225529695,3.4371672146346,6.13042319099606,0.20759710512603
25021,"Norfolk","Massachusetts",65,"2020-03-26",4.89249505179203,40.1185230304074,0.204722877367346,6.52686769993578,3.38578271990673,NA,NA
25025,"Suffolk","Massachusetts",65,"2020-03-26",5.36664334904728,42.5259113350446,0.235504929992348,6.94129318762857,2.94323851556937,NA,NA
26099,"Macomb","Michigan",65,"2020-03-26",5.26564658425849,48.5481122208776,0.322248280649391,7.55733051480466,2.15097247117385,NA,NA
26125,"Oakland","Michigan",65,"2020-03-26",5.94952585788765,45.5743316086964,0.307502444988704,8.12595764078657,2.25411924963851,NA,NA
26163,"Wayne","Michigan",65,"2020-03-26",6.5840018147687,45.1666272526762,0.325045734938828,8.72207336554139,2.13246046957174,NA,NA
27053,"Hennepin","Minnesota",65,"2020-03-26",4.42399083377291,44.0073159445438,0.214263572145333,5.99781247965777,3.23502111730775,NA,NA
31055,"Douglas","Nebraska",65,"2020-03-26",3.90052862600241,42.3119311532271,0.18877903084163,5.60448486445337,3.67173820879205,NA,NA
32003,"Clark","Nevada",65,"2020-03-26",5.28175234967334,41.659986911162,0.228440708076404,6.93089407306153,3.0342542115047,NA,NA
34003,"Bergen","New Jersey",65,"2020-03-26",6.46503324251821,41.1616457081421,0.275635799587483,8.50015444319833,2.51472117046229,NA,NA
34013,"Essex","New Jersey",65,"2020-03-26",5.63325781834076,46.4808594433915,0.298749666300369,7.62383472555899,2.3201605181478,NA,NA
34017,"Hudson","New Jersey",65,"2020-03-26",5.30826769740121,46.9964090446215,0.292911109074059,7.32382955757405,2.3664079616205,NA,NA
