"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days"
17003,"Alexander","Illinois",196,"2020-08-04",3.5715427474094,-0.06915105637236,0.0187333003447704,3.80415539749657,37.0008043325609
17005,"Bond","Illinois",196,"2020-08-04",3.91772102654278,98.8845149070977,0.0405767501825955,4.22466802875444,17.0823729707476
17007,"Boone","Illinois",196,"2020-08-04",6.58577748851138,-508.973885311212,0.00935014475897219,6.65705889226769,74.1322405618177
17011,"Bureau","Illinois",196,"2020-08-04",4.84867643182119,99.0295752414809,0.0479584412948345,4.98625951218044,14.4530798300695
17015,"Carroll","Illinois",196,"2020-08-04",3.77767495289707,89.2434850627039,0.0351564951889572,3.99928037010559,19.7160489643366
17017,"Cass","Illinois",196,"2020-08-04",5.27592567623314,-95.0996835047541,0.0181248367572074,5.40300810089887,38.2429475004409
17019,"Champaign","Illinois",196,"2020-08-04",7.31901310069116,-215.768201429956,0.0178021065893929,7.45495615810444,38.9362448246965
17021,"Christian","Illinois",196,"2020-08-04",4.66478589566244,79.9887597960718,0.0398986636543496,4.90798409860094,17.3726916411242
17023,"Clark","Illinois",196,"2020-08-04",4.19397440317094,31.9485811585019,0.0256246138468858,4.38312655577531,27.0500536984359
17027,"Clinton","Illinois",196,"2020-08-04",5.81327728945248,-104.453600002753,0.0193617981477247,5.9528545430446,35.7997317847981
17029,"Coles","Illinois",196,"2020-08-04",5.95138632354057,2.91062635001427,0.0305097199539504,6.1046707558224,22.7188968501233
17031,"Cook","Illinois",196,"2020-08-04",11.5712213269088,-1261.37406871754,0.00794434496859584,11.6334927649584,87.2503879552022
17033,"Crawford","Illinois",196,"2020-08-04",3.3722098447889,25.0527993823829,0.0205280667886048,3.65291201912371,33.7658283996188
17035,"Cumberland","Illinois",196,"2020-08-04",3.80348283685294,44.5717959754602,0.0248902932496349,3.94332445718379,27.8480921702323
17037,"DeKalb","Illinois",196,"2020-08-04",6.74473202065128,-273.338916457565,0.01438664947834,6.85292102396726,48.1798893900572
17039,"De Witt","Illinois",196,"2020-08-04",3.3322045101752,77.3557852089446,0.02878722243905,3.61694795936989,24.0782931395176
17041,"Douglas","Illinois",196,"2020-08-04",4.63055941999291,-9.84941806035968,0.0227697774724442,4.84653388437364,30.4415439017261
17043,"DuPage","Illinois",196,"2020-08-04",9.33917324381915,-832.677207367861,0.00908226634645212,9.40629624626463,76.3187462379052
17045,"Edgar","Illinois",196,"2020-08-04",3.24147565678544,44.1428674028618,0.0217657900749752,3.45765100002181,31.8457165199291
17049,"Effingham","Illinois",196,"2020-08-04",4.57618264911484,101.341938872147,0.0473620948683561,4.81473873527052,14.6350616983172
17051,"Fayette","Illinois",196,"2020-08-04",3.99688922607139,81.5200594509842,0.0348245003340643,4.23047823023131,19.9040093586621
17053,"Ford","Illinois",196,"2020-08-04",3.67810735713203,-20.2773431493625,0.0170991695223623,3.81785714101362,40.5368915521567
17055,"Franklin","Illinois",196,"2020-08-04",4.79460921055091,70.1721694540336,0.0379387962238506,5.03932799593957,18.2701416373404
17057,"Fulton","Illinois",196,"2020-08-04",3.23587340123677,69.6933219216621,0.026112353689094,3.48095112709975,26.5447990178474
17059,"Gallatin","Illinois",196,"2020-08-04",3.76782265645406,77.5902333924258,0.0313389629003158,3.93021202305203,22.1177446989786
17063,"Grundy","Illinois",196,"2020-08-04",5.60999494455603,-60.5492603296994,0.0219068193045167,5.77352602388177,31.6407037883876
17067,"Hancock","Illinois",196,"2020-08-04",3.42006586596654,74.6986091552697,0.028148774049601,3.61152686113786,24.6244180772686
17073,"Henry","Illinois",196,"2020-08-04",5.27957132372698,17.7610349103084,0.02966276150697,5.49469924325346,23.3675876872446
17075,"Iroquois","Illinois",196,"2020-08-04",5.50358785632754,-54.869116246752,0.0219763630385044,5.6670253150569,31.5405774533983
17077,"Jackson","Illinois",196,"2020-08-04",6.43477579770626,-28.6640315252836,0.0286384237253493,6.63449269674375,24.2033984554257
17079,"Jasper","Illinois",196,"2020-08-04",3.94849268520954,-75.5521553968262,0.0146926471810771,4.09266854077412,47.1764667059223
17081,"Jefferson","Illinois",196,"2020-08-04",5.20086203039732,-4.12696426930578,0.0260516807865189,5.39600555542466,26.6066203651102
17083,"Jersey","Illinois",196,"2020-08-04",4.18314006100523,36.0259909166837,0.0262154736611125,4.37730273721404,26.440383626871
17085,"Jo Daviess","Illinois",196,"2020-08-04",4.70953020131233,41.3042776931497,0.0306120096659517,4.94983101420034,22.6429818925251
17087,"Johnson","Illinois",196,"2020-08-04",4.00212484012533,57.1987429413771,0.0292251621150745,4.2610653741199,23.7174794045853
17089,"Kane","Illinois",196,"2020-08-04",9.12686559099489,-948.311099463788,0.00797657512056724,9.18351947201577,86.8978440098554
17091,"Kankakee","Illinois",196,"2020-08-04",7.46270714650495,-350.571868095579,0.0136924395805657,7.5797493573996,50.6226210808891
17093,"Kendall","Illinois",196,"2020-08-04",7.18884423596428,-487.901962880738,0.0105227345606961,7.27017796285793,65.8713927032757
17095,"Knox","Illinois",196,"2020-08-04",5.51573024315326,-42.4227382311907,0.0231077283654637,5.67116196975467,29.9963358404328
17097,"Lake","Illinois",196,"2020-08-04",9.38705097869464,-951.717018034431,0.00818175720778901,9.44761428525984,84.7186200905682
17099,"LaSalle","Illinois",196,"2020-08-04",6.22427550382433,-13.7194230366419,0.0295757058584097,6.40962990953597,23.4363698326697
17101,"Lawrence","Illinois",196,"2020-08-04",3.71357206670431,89.0485824187738,0.034796876136682,3.96515336317326,19.9198105553287
17103,"Lee","Illinois",196,"2020-08-04",4.95280438527468,-38.9561376332092,0.0211923643575391,5.12762262726584,32.7074020088449
17105,"Livingston","Illinois",196,"2020-08-04",4.48219512362928,42.2258058575834,0.0291143216172852,4.68083159602217,23.8077737022876
17107,"Logan","Illinois",196,"2020-08-04",4.39268392914787,92.985478492918,0.043166493133721,4.74894108724506,16.0575281946744
17109,"McDonough","Illinois",196,"2020-08-04",4.83514747688087,-113.199273887237,0.0157052095058848,4.96597584200772,44.1348573096219
17111,"McHenry","Illinois",196,"2020-08-04",7.98776707464387,-432.901862845007,0.0127014176865025,8.07685516761946,54.5724262966753
17113,"McLean","Illinois",196,"2020-08-04",6.30470993311938,-44.3609972545959,0.0262193889901987,6.48565420802173,26.436435296759
17115,"Macon","Illinois",196,"2020-08-04",6.11809719804135,8.23073211869659,0.0324525431766611,6.32075807540468,21.358793879009
17117,"Macoupin","Illinois",196,"2020-08-04",4.87519732320115,39.0658637484873,0.0311014930038637,5.09859639172087,22.2866207893568
17119,"Madison","Illinois",196,"2020-08-04",7.66535169097916,-88.2895365847521,0.0269931695758562,7.8628278567048,25.6786139401696
17121,"Marion","Illinois",196,"2020-08-04",4.88171908544754,18.9117120327126,0.0276134939881916,5.08332083308118,25.1017557161131
17125,"Mason","Illinois",196,"2020-08-04",3.73766961828337,18.5261782145699,0.0215290399724615,3.97154428309126,32.1959168382135
17127,"Massac","Illinois",196,"2020-08-04",3.50941096630239,92.6851881564267,0.0344228223831188,3.7973471743185,20.1362681085636
17129,"Menard","Illinois",196,"2020-08-04",3.80666248977032,43.7659121228833,0.024791545328829,3.94765910750028,27.9590147111126
17131,"Mercer","Illinois",196,"2020-08-04",4.16777203077692,93.0572121257374,0.0393695986767424,4.32840343601194,17.6061530687998
17133,"Monroe","Illinois",196,"2020-08-04",5.58134577031847,-11.9508540550537,0.0268016838381385,5.7610448311214,25.8620758585923
17135,"Montgomery","Illinois",196,"2020-08-04",4.94266231051005,-13.3394137112368,0.0236722393148929,5.12123837461601,29.2810144126867
17137,"Morgan","Illinois",196,"2020-08-04",5.23947686652511,-20.5626972882937,0.0239216104286434,5.3479797509073,28.9757741280654
17139,"Moultrie","Illinois",196,"2020-08-04",3.9863350383927,84.7337309054107,0.0358859419292822,4.24409646492129,19.3152845737164
17141,"Ogle","Illinois",196,"2020-08-04",5.94429806405465,-305.302971470683,0.011885287426375,6.04132691560957,58.3197659167888
17143,"Peoria","Illinois",196,"2020-08-04",7.14463265946527,-68.3131984980249,0.0269135882623221,7.3020117145095,25.7545435340676
17145,"Perry","Illinois",196,"2020-08-04",4.7043688995321,46.518775509427,0.0313422156269662,4.90446827955525,22.1154492971957
17147,"Piatt","Illinois",196,"2020-08-04",3.71705033108063,85.0138582040518,0.0334102211487346,3.94194308988858,20.7465606849537
17153,"Pulaski","Illinois",196,"2020-08-04",4.50456027308886,-219.214776284367,0.0110060064677379,4.64689855856025,62.9789908439342
17157,"Randolph","Illinois",196,"2020-08-04",6.05108025678234,-171.346409750486,0.0165352712411916,6.18991942339055,41.9193111772622
17161,"Rock Island","Illinois",196,"2020-08-04",7.36888032427733,-321.396245827225,0.014247949403276,7.4715711778142,48.64890805975
17163,"St. Clair","Illinois",196,"2020-08-04",8.25831142742721,-192.742764662457,0.0212716163455043,8.41808826140898,32.5855435384646
17165,"Saline","Illinois",196,"2020-08-04",4.64163986576949,93.5580688842791,0.0448860929960536,4.91242069772794,15.4423594100936
17167,"Sangamon","Illinois",196,"2020-08-04",6.9081837586002,-41.4816432970532,0.0290449107339064,7.10094750564166,23.8646689917618
17173,"Shelby","Illinois",196,"2020-08-04",4.02023659006838,105.12668160004,0.0426579920913854,4.17507924226313,16.2489406223113
17177,"Stephenson","Illinois",196,"2020-08-04",5.75257263882563,-219.637896257242,0.0139929119711578,5.91393487800289,49.5355921618504
17179,"Tazewell","Illinois",196,"2020-08-04",5.87292229474809,25.939682723365,0.0342178193575958,6.05861795197049,20.2569068857416
17181,"Union","Illinois",196,"2020-08-04",5.67184942755319,-115.428885658437,0.0182448139313592,5.80967576920822,37.9914633916088
17183,"Vermilion","Illinois",196,"2020-08-04",5.3054348343169,33.6451043539925,0.0328019101962724,5.55516407827943,21.1313053542447
17185,"Wabash","Illinois",196,"2020-08-04",3.391627930646,55.1613238753228,0.0237662107693965,3.51356513664763,29.1652374577315
17187,"Warren","Illinois",196,"2020-08-04",5.18977719797283,-150.017595969987,0.0150367098181064,5.30822315128622,46.0969978768424
17189,"Washington","Illinois",196,"2020-08-04",4.02279741093005,85.0044483573152,0.0359016584907752,4.23623599850629,19.3068289794481
17191,"Wayne","Illinois",196,"2020-08-04",3.74444930526875,103.386822733729,0.0395000690529498,3.93472738060143,17.5479992106034
17193,"White","Illinois",196,"2020-08-04",4.02789946281395,92.0259939594307,0.0382856875702636,4.24871612368978,18.1046031702539
17195,"Whiteside","Illinois",196,"2020-08-04",5.76787446754344,-53.5691753016536,0.0231676088479698,5.94409429583491,29.9188053937075
17197,"Will","Illinois",196,"2020-08-04",9.05099287874205,-744.630747424912,0.00962529085934806,9.12122157122617,72.0131153113947
17199,"Williamson","Illinois",196,"2020-08-04",5.74984784149945,22.5520395822619,0.0330525885100429,5.96427218316401,20.9710407506914
17201,"Winnebago","Illinois",196,"2020-08-04",8.20291288230152,-655.253943907582,0.00964855698334294,8.28091208397112,71.8394659177097
17203,"Woodford","Illinois",196,"2020-08-04",4.52952256764878,67.7890011940529,0.0351519283682854,4.75292734463097,19.7186104073116
18001,"Adams","Indiana",196,"2020-08-04",4.3640081291712,6.7555405500077,0.0230621676302817,4.52582262034974,30.0555954527801
18003,"Allen","Indiana",196,"2020-08-04",8.18379622131195,-575.761439719201,0.010605367535783,8.25905129091763,65.3581479586857
18005,"Bartholomew","Indiana",196,"2020-08-04",6.60142419927291,-376.377135198381,0.011535992860651,6.68369049527294,60.085611089814
18007,"Benton","Indiana",196,"2020-08-04",4.07268306544092,-134.958806320625,0.0124841449471282,4.2191267242651,55.5221990368988
18009,"Blackford","Indiana",196,"2020-08-04",4.04555439805267,-60.1718446656141,0.0158404744079429,4.1687668703168,43.7579811506389
18011,"Boone","Indiana",196,"2020-08-04",6.46325229814722,-242.590538728038,0.0147545699211681,6.57449675987381,46.9784740770721
18013,"Brown","Indiana",196,"2020-08-04",4.22787595484662,2.2978797148514,0.0220631089042827,4.42811273717169,31.4165688782598
18015,"Carroll","Indiana",196,"2020-08-04",4.91055183553927,-108.80170102838,0.0160499080213369,5.00438862240187,43.1869877159714
18017,"Cass","Indiana",196,"2020-08-04",7.46581884243205,-1251.68170216885,0.00516222264995258,7.50939083140759,134.273011367751
18019,"Clark","Indiana",196,"2020-08-04",6.96548495819038,-163.402301084779,0.019353861110053,7.09129924559865,35.8144132903745
18021,"Clay","Indiana",196,"2020-08-04",4.55237200042112,-26.3248682409858,0.020368040021382,4.67089809423056,34.0311183517065
18023,"Clinton","Indiana",196,"2020-08-04",5.84808894044868,-418.596367966541,0.00955958169783361,5.94220126265279,72.5081078303904
18025,"Crawford","Indiana",196,"2020-08-04",3.74444930526875,-48.4807438193596,0.015366937096434,3.86448877123654,45.1063979900584
18027,"Daviess","Indiana",196,"2020-08-04",5.47586564458933,-75.1957600434263,0.0201385402782537,5.60245651887394,34.4189385617204
18029,"Dearborn","Indiana",196,"2020-08-04",6.11904074269383,-84.6574074389982,0.0218217453248229,6.27718668593263,31.7640578350747
18031,"Decatur","Indiana",196,"2020-08-04",5.79865966029918,-249.883442184152,0.0129840001265049,5.880238670611,53.3847176375938
18033,"DeKalb","Indiana",196,"2020-08-04",5.37593956473304,-150.845902898063,0.0155153125330892,5.49002977201659,44.6750382295994
18035,"Delaware","Indiana",196,"2020-08-04",6.43385836644925,-214.15981154752,0.0156640303034328,6.53440392945466,44.2508835295117
18037,"Dubois","Indiana",196,"2020-08-04",6.41626532009432,-76.0679928954776,0.0236382090386626,6.5966675520633,29.3231682411403
18039,"Elkhart","Indiana",196,"2020-08-04",8.44031214708028,-527.105787283115,0.0116893925672079,8.53449316314269,59.2971086029247
18041,"Fayette","Indiana",196,"2020-08-04",5.3838395399862,-106.548075747503,0.0177769500368689,5.50282067657228,38.9913443601055
18043,"Floyd","Indiana",196,"2020-08-04",6.50834324258705,-91.0806965902811,0.0226328195311702,6.65587533352864,30.6257547631366
18045,"Fountain","Indiana",196,"2020-08-04",4.12019794104843,28.2559801036343,0.0244106620427664,4.26561721368462,28.3952634855041
18047,"Franklin","Indiana",196,"2020-08-04",5.36062124988419,-49.7809697145337,0.0217183474588134,5.48998493123604,31.9152818544056
18049,"Fulton","Indiana",196,"2020-08-04",4.93138592244212,-12.3229188610544,0.0235362809901758,5.06790072193859,29.4501574335075
18051,"Gibson","Indiana",196,"2020-08-04",5.28320372873799,-64.3514889599448,0.0203758015287256,5.44750087745712,34.0181552898791
18053,"Grant","Indiana",196,"2020-08-04",6.57547424697939,-122.29745903774,0.0207139548433725,6.73819687717157,33.4628121863324
18055,"Greene","Indiana",196,"2020-08-04",5.48063892334199,-240.901524240977,0.01256669525865,5.57837517998661,55.1574750794431
18057,"Hamilton","Indiana",196,"2020-08-04",7.81179990386747,-253.802765184636,0.0173780054659778,7.93832095025239,39.886463490702
18059,"Hancock","Indiana",196,"2020-08-04",6.41859795469528,-227.83189506035,0.0151728250948954,6.53693698905303,45.6834621255299
