"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","Predicted_Double_Days"
18143,"Scott","Indiana",136,"2020-06-05",4.81218435537242,-198.926414369574,0.0144446481524493,4.93900674959706,47.9864357542287
18145,"Shelby","Indiana",136,"2020-06-05",6.3256382257002,-210.695079641912,0.0182380208817512,6.45069824828187,38.0056139344319
18147,"Spencer","Indiana",136,"2020-06-05",3.16607763930123,-26.348026009626,0.019370919071079,3.28042690667945,35.7828752480218
18149,"Starke","Indiana",136,"2020-06-05",3.69953674858792,-23.0604395470818,0.0229593518588896,3.81264006140331,30.190189375558
18151,"Steuben","Indiana",136,"2020-06-05",4.45101950616083,-166.435428470789,0.0147065707415391,4.55073401874411,47.131802018409
18153,"Sullivan","Indiana",136,"2020-06-05",3.59926729542425,-52.0986909677599,0.0190973079608518,3.72585978417036,36.2955439573395
18155,"Switzerland","Indiana",136,"2020-06-05",3.07797037179096,-51.8997347878217,0.0167267259538239,3.26003445226886,41.4395012193933
18157,"Tippecanoe","Indiana",136,"2020-06-05",6.03513961061064,-213.191922824179,0.0173007489807264,6.1623870457434,40.064576471928
18159,"Tipton","Indiana",136,"2020-06-05",3.27444567602301,-73.0785463276712,0.0158127609957382,3.41679840938601,43.8346712978689
18161,"Union","Indiana",136,"2020-06-05",3.09751496786393,-130.837670244828,0.0116478108853314,3.18960939629149,59.508794174608
18163,"Vanderburgh","Indiana",136,"2020-06-05",5.6534911843605,-195.044716608937,0.0170841378451646,5.77520253637667,40.5725584072205
18167,"Vigo","Indiana",136,"2020-06-05",5.15987598042596,-130.491180103435,0.0193611442632318,5.29510219270411,35.8009408501894
18169,"Wabash","Indiana",136,"2020-06-05",4.37125453769197,-222.180210879989,0.0121905174282998,4.45173572520269,56.8595373114216
18173,"Warrick","Indiana",136,"2020-06-05",5.12055682108164,-315.261689087056,0.0114167060164543,5.23183898291068,60.7134123941661
18175,"Washington","Indiana",136,"2020-06-05",3.93462283734539,-425.172446789669,0.00712726153071424,4.04951362281579,97.2529459699066
18177,"Wayne","Indiana",136,"2020-06-05",5.46625018588989,-169.744585071152,0.0179226779663625,5.60522048395391,38.6743087088243
18179,"Wells","Indiana",136,"2020-06-05",3.48343547989913,1.95784233920913,0.0254454609416216,3.58888271387969,27.2405039999159
18181,"White","Indiana",136,"2020-06-05",5.46745718663993,-269.367725693482,0.0135448016610127,5.58543905592111,51.1744060863658
18183,"Whitley","Indiana",136,"2020-06-05",3.76782265645406,-47.4057364774247,0.0205924897440796,3.9209281756253,33.6601930691371
19005,"Allamakee","Iowa",136,"2020-06-05",4.78868151091763,-301.529042175445,0.0110149053854945,4.89644534066701,62.9281102561944
19011,"Benton","Iowa",136,"2020-06-05",3.76120011569356,-138.983832469902,0.0136791736432383,3.85730580894161,50.671714435219
19013,"Black Hawk","Iowa",136,"2020-06-05",7.4732314125192,-416.951136887172,0.0135638569652035,7.59509712824069,51.1025132702396
19015,"Boone","Iowa",136,"2020-06-05",4.19397440317094,-23.3599986109984,0.0260582685013461,4.33505351168897,26.5998940230483
19017,"Bremer","Iowa",136,"2020-06-05",4.24645234041956,-247.044022003703,0.0111292303702239,4.3408897754079,62.2816814372403
19019,"Buchanan","Iowa",136,"2020-06-05",3.500827222611,-73.5609569694545,0.0169450220935339,3.66963020044426,40.9056522165553
19021,"Buena Vista","Iowa",136,"2020-06-05",6.79762148457165,34.4081593570005,0.0654912011284641,7.1118100764608,10.5838214693956
19031,"Cedar","Iowa",136,"2020-06-05",3.88303546855489,-191.320964436564,0.011881556784918,3.97225352334158,58.3380775017464
19033,"Cerro Gordo","Iowa",136,"2020-06-05",3.41538201665411,26.2878346093838,0.0305370131652785,3.56404093108141,22.6985912737554
19035,"Cherokee","Iowa",136,"2020-06-05",3.53472877428668,57.4193738797882,0.0426536300583948,3.65032436669731,16.2506023428954
19039,"Clarke","Iowa",136,"2020-06-05",4.1155467698727,47.0941904889744,0.0459640047409109,4.40821508304568,15.0802173236876
19043,"Clayton","Iowa",136,"2020-06-05",3.5305534028762,-119.913756019022,0.0139598874560749,3.67024644467947,49.6527771259582
19045,"Clinton","Iowa",136,"2020-06-05",4.15888308335967,-213.365086643102,0.0119113071374785,4.24477400008012,58.1923690288352
19047,"Crawford","Iowa",136,"2020-06-05",6.28280064973837,-19.6934571191303,0.0408750389854393,6.65010140242034,16.9577130142154
19049,"Dallas","Iowa",136,"2020-06-05",6.8307199493724,-250.497610972353,0.0177340569478679,6.97830904183365,39.085652121089
19051,"Davis","Iowa",136,"2020-06-05",3.2188758248682,43.2841556925152,0.0344729207711708,3.43749640044233,20.1070047171522
19057,"Des Moines","Iowa",136,"2020-06-05",4.18531634042783,-20.0483167446735,0.0268001110756035,4.36971299944742,25.8635935726001
19061,"Dubuque","Iowa",136,"2020-06-05",5.85874914800079,-189.251904064958,0.0181043856466713,6.01521660303285,38.2861475715077
19065,"Fayette","Iowa",136,"2020-06-05",3.30636327899132,-131.377179502649,0.0124625781300208,3.4194470366465,55.618281653155
19077,"Guthrie","Iowa",136,"2020-06-05",3.96488649498521,-34.6713123957566,0.0234410518455337,4.16480244533295,29.5697985366648
19079,"Hamilton","Iowa",136,"2020-06-05",3.89473150831808,53.0387110144715,0.042789857038775,3.84943069471469,16.1988664727679
19085,"Harrison","Iowa",136,"2020-06-05",3.20738144544246,15.3616370652495,0.026697389396126,3.4076110771531,25.9631071141557
19087,"Henry","Iowa",136,"2020-06-05",4.27864828022005,-47.678138596943,0.023583735888146,4.4969028603136,29.39089819558
19095,"Iowa","Iowa",136,"2020-06-05",3.49650756146648,-166.749935741511,0.0117457152636206,3.63823454814458,59.012768912149
19099,"Jasper","Iowa",136,"2020-06-05",5.57323980861451,-378.908949004122,0.0108962967773866,5.68687479912282,63.613096698913
19103,"Johnson","Iowa",136,"2020-06-05",6.42394245446221,-475.21702171627,0.0105496646887651,6.52198228399364,65.7032428052539
19105,"Jones","Iowa",136,"2020-06-05",3.60316593583991,-220.20169723977,0.0102370946177405,3.71813013996745,67.7093654442491
19111,"Lee","Iowa",136,"2020-06-05",3.31678003984957,11.6628076313907,0.0263920268000655,3.4662547008377,26.2635069981903
19113,"Linn","Iowa",136,"2020-06-05",6.8697566758909,-515.538540319388,0.0105734520569724,6.96302568373562,65.5554285227848
19115,"Louisa","Iowa",136,"2020-06-05",5.84808894044868,-338.529585904443,0.0123771819377533,5.95997929315029,56.0020192032312
19121,"Madison","Iowa",136,"2020-06-05",3.36729582998647,2.2282579901233,0.0258209151759331,3.63485520960536,26.8444079474769
19123,"Mahaska","Iowa",136,"2020-06-05",4.56731996185699,28.5495416302174,0.0431958720052556,4.94378735068397,16.0466069645639
19125,"Marion","Iowa",136,"2020-06-05",3.50941096630239,-21.4238644213569,0.0224642874423782,3.69366495274798,30.8555159979099
19127,"Marshall","Iowa",136,"2020-06-05",6.80477288572928,-340.856100565193,0.0143343645909375,6.93576975505078,48.3556265199345
19133,"Monona","Iowa",136,"2020-06-05",3.22457384598284,-17.4521588266602,0.0215212326302708,3.45312823613771,32.2075966775712
19135,"Monroe","Iowa",136,"2020-06-05",3.66356164612965,3.92634878752836,0.0280061425917532,3.89491650661223,24.7498268741963
19139,"Muscatine","Iowa",136,"2020-06-05",6.3297209055227,-480.79744039329,0.0105195910576605,6.56209397575276,65.8910766360244
