,date,county,state,fips,cases,deaths,datetime,logcases,days_from_start,window_days,normalized_cases,rate
201048,2020-06-03,Jones,Georgia,13169,44,0,2020-06-03,3.784189633918261,134,0,1.0,0.01452261909906006
201049,2020-06-03,Lamar,Georgia,13171,73,2,2020-06-03,4.290459441148391,134,0,1.0,0.007615222473249015
201050,2020-06-03,Lanier,Georgia,13173,24,2,2020-06-03,3.1780538303479458,134,0,1.0,0.1100194517405947
201051,2020-06-03,Laurens,Georgia,13175,108,1,2020-06-03,4.68213122712422,134,0,1.0,0.00738934698915363
201052,2020-06-03,Lee,Georgia,13177,361,22,2020-06-03,5.8888779583328805,134,0,1.0,0.002925031084987396
201053,2020-06-03,Liberty,Georgia,13179,83,1,2020-06-03,4.418840607796598,134,0,1.0,0.01047453255177333
201054,2020-06-03,Lincoln,Georgia,13181,16,1,2020-06-03,2.772588722239781,134,0,1.0,0.007034623826575305
201055,2020-06-03,Long,Georgia,13183,16,1,2020-06-03,2.772588722239781,134,0,1.0,0.029875451198222852
201056,2020-06-03,Lowndes,Georgia,13185,326,4,2020-06-03,5.786897381366708,134,0,1.0,0.0600098017255259
201057,2020-06-03,Lumpkin,Georgia,13187,101,1,2020-06-03,4.61512051684126,134,0,1.0,0.005358072767395419
201058,2020-06-03,Macon,Georgia,13193,104,6,2020-06-03,4.6443908991413725,134,0,1.0,0.005153796504742806
201059,2020-06-03,Madison,Georgia,13195,59,1,2020-06-03,4.07753744390572,134,0,1.0,0.019220107215376106
201060,2020-06-03,Marion,Georgia,13197,59,2,2020-06-03,4.07753744390572,134,0,1.0,0.0037703049584076817
201061,2020-06-03,McDuffie,Georgia,13189,69,5,2020-06-03,4.23410650459726,134,0,1.0,0.006749050410132894
201062,2020-06-03,McIntosh,Georgia,13191,16,1,2020-06-03,2.772588722239781,134,0,1.0666666666666667,0.0164734596610497
201063,2020-06-03,Meriwether,Georgia,13199,95,2,2020-06-03,4.553876891600541,134,0,1.0,0.02621812586819225
201064,2020-06-03,Miller,Georgia,13201,42,0,2020-06-03,3.7376696182833684,134,0,1.0,0.006092878312583348
201065,2020-06-03,Mitchell,Georgia,13205,415,32,2020-06-03,6.028278520230698,134,0,1.0,0.0032289345364298915
201066,2020-06-03,Monroe,Georgia,13207,124,11,2020-06-03,4.820281565605037,134,0,1.008130081300813,0.004196163667404439
201067,2020-06-03,Montgomery,Georgia,13209,13,0,2020-06-03,2.5649493574615367,134,0,1.1818181818181819,0.05682503976420118
201068,2020-06-03,Morgan,Georgia,13211,38,0,2020-06-03,3.6375861597263857,134,0,1.0,0.005579890880063945
201069,2020-06-03,Murray,Georgia,13213,99,1,2020-06-03,4.59511985013459,134,0,1.0,0.030201541406101363
201070,2020-06-03,Muscogee,Georgia,13215,673,18,2020-06-03,6.511745329644728,134,0,1.0,0.037282104251972835
201071,2020-06-03,Newton,Georgia,13217,376,11,2020-06-03,5.929589143389895,134,0,1.0,0.009503716060493517
201072,2020-06-03,Oconee,Georgia,13219,119,9,2020-06-03,4.77912349311153,134,0,1.0,0.007823481307170432
201073,2020-06-03,Oglethorpe,Georgia,13221,63,7,2020-06-03,4.143134726391533,134,0,1.0,0.014330159040609775
201074,2020-06-03,Paulding,Georgia,13223,334,11,2020-06-03,5.811140992976701,134,0,1.0,0.017739779033175668
201075,2020-06-03,Peach,Georgia,13225,76,4,2020-06-03,4.330733340286331,134,0,1.0,0.012473267425666625
201076,2020-06-03,Pickens,Georgia,13227,50,3,2020-06-03,3.912023005428146,134,0,1.0,0.022970901174994125
201077,2020-06-03,Pierce,Georgia,13229,105,3,2020-06-03,4.653960350157523,134,0,1.0,0.01964419789203451
201078,2020-06-03,Pike,Georgia,13231,56,3,2020-06-03,4.02535169073515,134,0,1.0,0.019256696187687047
201079,2020-06-03,Polk,Georgia,13233,131,1,2020-06-03,4.875197323201151,134,0,1.0,0.02080877580799646
201080,2020-06-03,Pulaski,Georgia,13235,43,2,2020-06-03,3.7612001156935624,134,0,1.0,0.006524696965901903
201081,2020-06-03,Putnam,Georgia,13237,95,9,2020-06-03,4.553876891600541,134,0,1.0,0.012457736087245135
201082,2020-06-03,Quitman,Georgia,13239,14,1,2020-06-03,2.6390573296152584,134,0,1.0769230769230769,0.00913478718346206
201083,2020-06-03,Rabun,Georgia,13241,25,1,2020-06-03,3.2188758248682006,134,0,1.0,0.019788175286131835
201084,2020-06-03,Randolph,Georgia,13243,179,19,2020-06-03,5.187385805840755,134,0,1.0,0.005648276934138725
201085,2020-06-03,Richmond,Georgia,13245,606,25,2020-06-03,6.406879986069314,134,0,1.0,0.009968544435923335
201086,2020-06-03,Rockdale,Georgia,13247,297,8,2020-06-03,5.6937321388027,134,0,1.0,0.012364788779189314
201087,2020-06-03,Schley,Georgia,13249,16,1,2020-06-03,2.772588722239781,134,0,1.0,0.015510436473340128
201088,2020-06-03,Screven,Georgia,13251,55,3,2020-06-03,4.007333185232471,134,0,1.0,0.011716576482778301
201089,2020-06-03,Seminole,Georgia,13253,45,2,2020-06-03,3.8066624897703196,134,0,1.0,0.005815262104255275
201090,2020-06-03,Spalding,Georgia,13255,280,22,2020-06-03,5.634789603169249,134,0,1.0,0.011166525508657264
201091,2020-06-03,Stephens,Georgia,13257,147,3,2020-06-03,4.990432586778736,134,0,1.027972027972028,0.005780749445691485
201092,2020-06-03,Stewart,Georgia,13259,53,1,2020-06-03,3.970291913552122,134,0,1.0,0.015847822127578823
201093,2020-06-03,Sumter,Georgia,13261,490,44,2020-06-03,6.194405391104672,134,0,1.0,0.0035864512429400583
201094,2020-06-03,Talbot,Georgia,13263,40,2,2020-06-03,3.6888794541139363,134,0,1.0,0.013544662930374929
201095,2020-06-03,Taliaferro,Georgia,13265,1,0,2020-06-03,0.0,134,0,1.0,0.05276687178345399
201096,2020-06-03,Tattnall,Georgia,13267,29,0,2020-06-03,3.367295829986474,134,0,1.0,0.04462647334645557
201097,2020-06-03,Taylor,Georgia,13269,23,2,2020-06-03,3.1354942159291497,134,0,1.0,0.009126861048109357
201098,2020-06-03,Telfair,Georgia,13271,37,1,2020-06-03,3.6109179126442243,134,0,1.0,0.027568587284482558
201099,2020-06-03,Terrell,Georgia,13273,215,26,2020-06-03,5.3706380281276624,134,0,1.0,0.0013804299509654076
201100,2020-06-03,Thomas,Georgia,13275,346,32,2020-06-03,5.846438775057725,134,0,1.0,0.004321694013558585
201101,2020-06-03,Tift,Georgia,13277,271,18,2020-06-03,5.602118820879701,134,0,1.0,0.03533802208806777
201102,2020-06-03,Toombs,Georgia,13279,58,4,2020-06-03,4.060443010546419,134,0,1.0,0.05413648785250172
201103,2020-06-03,Towns,Georgia,13281,26,1,2020-06-03,3.258096538021482,134,0,1.0,0.02465887870560921
201104,2020-06-03,Treutlen,Georgia,13283,13,0,2020-06-03,2.5649493574615367,134,0,1.0,0.02467006709202382
201105,2020-06-03,Troup,Georgia,13285,345,11,2020-06-03,5.84354441703136,134,0,1.0,0.06924511243092199
201106,2020-06-03,Turner,Georgia,13287,134,13,2020-06-03,4.897839799950911,134,0,1.0,0.010783326002406711
201107,2020-06-03,Twiggs,Georgia,13289,18,1,2020-06-03,2.8903717578961645,134,0,1.0,0.01422939582748141
201108,2020-06-03,Union,Georgia,13291,48,1,2020-06-03,3.871201010907891,134,0,1.0,0.009661464422824216
201110,2020-06-03,Upson,Georgia,13293,290,34,2020-06-03,5.66988092298052,134,0,1.0034602076124568,0.0019973357810049584
201111,2020-06-03,Walker,Georgia,13295,171,0,2020-06-03,5.14166355650266,134,0,1.0,0.02485025116277026
201112,2020-06-03,Walton,Georgia,13297,273,15,2020-06-03,5.60947179518496,134,0,1.0,0.01673173500045983
201113,2020-06-03,Ware,Georgia,13299,234,14,2020-06-03,5.455321115357702,134,0,1.0,0.014117482858092828
201114,2020-06-03,Warren,Georgia,13301,18,0,2020-06-03,2.8903717578961645,134,0,1.0,0.0062737086851996785
201115,2020-06-03,Washington,Georgia,13303,74,1,2020-06-03,4.30406509320417,134,0,1.0,0.00188011139678677
201116,2020-06-03,Wayne,Georgia,13305,22,0,2020-06-03,3.091042453358316,134,0,1.0,0.04557117014510577
201117,2020-06-03,Webster,Georgia,13307,13,1,2020-06-03,2.5649493574615367,134,0,1.0,0.010220334361195491
201118,2020-06-03,Wheeler,Georgia,13309,13,0,2020-06-03,2.5649493574615367,134,0,1.0,0.05406690079868998
201119,2020-06-03,White,Georgia,13311,105,3,2020-06-03,4.653960350157523,134,0,1.0,0.015532321394478982
201120,2020-06-03,Whitfield,Georgia,13313,408,7,2020-06-03,6.0112671744041615,134,0,1.0,0.03486526523208794
201121,2020-06-03,Wilcox,Georgia,13315,117,13,2020-06-03,4.762173934797756,134,0,1.0,0.0007697954614557085
201122,2020-06-03,Wilkes,Georgia,13317,34,1,2020-06-03,3.5263605246161616,134,0,1.0,0.007355651718537875
201123,2020-06-03,Wilkinson,Georgia,13319,69,7,2020-06-03,4.23410650459726,134,0,1.0,0.005597136828090362
201124,2020-06-03,Worth,Georgia,13321,226,21,2020-06-03,5.420534999272286,134,0,1.0,0.012342923522230487
203965,2020-06-04,Appling,Georgia,13001,172,13,2020-06-04,5.147494476813453,135,1,1.011764705882353,0.017595552102835057
203966,2020-06-04,Atkinson,Georgia,13003,54,2,2020-06-04,3.9889840465642745,135,1,1.0188679245283019,0.029674753919997167
203967,2020-06-04,Bacon,Georgia,13005,137,3,2020-06-04,4.919980925828125,135,1,1.0073529411764706,0.02180174576694219
203968,2020-06-04,Baker,Georgia,13007,35,3,2020-06-04,3.5553480614894135,135,1,1.0294117647058822,0.008424895549942768
203969,2020-06-04,Baldwin,Georgia,13009,380,27,2020-06-04,5.940171252720432,135,1,1.0795454545454546,0.018006787955070668
203970,2020-06-04,Banks,Georgia,13011,87,1,2020-06-04,4.465908118654584,135,1,1.0116279069767442,0.02053774288993984
203971,2020-06-04,Barrow,Georgia,13013,333,19,2020-06-04,5.808142489980444,135,1,1.0,0.013035855618763402
203972,2020-06-04,Bartow,Georgia,13015,504,39,2020-06-04,6.222576268071369,135,1,1.0161290322580645,0.009181309487459887
203973,2020-06-04,Ben Hill,Georgia,13017,84,1,2020-06-04,4.430816798843313,135,1,1.037037037037037,0.021927546857518715
203974,2020-06-04,Berrien,Georgia,13019,51,0,2020-06-04,3.9318256327243257,135,1,1.0625,0.03344063380641186
203975,2020-06-04,Bibb,Georgia,13021,494,29,2020-06-04,6.202535517187923,135,1,1.027027027027027,0.010596920961460593
203976,2020-06-04,Bleckley,Georgia,13023,48,0,2020-06-04,3.871201010907891,135,1,1.0,0.010561843056147864
203977,2020-06-04,Brantley,Georgia,13025,61,2,2020-06-04,4.110873864173311,135,1,1.0338983050847457,0.013051251296619762
203978,2020-06-04,Brooks,Georgia,13027,76,8,2020-06-04,4.330733340286331,135,1,1.0555555555555556,0.02618213327843294
203979,2020-06-04,Bryan,Georgia,13029,78,5,2020-06-04,4.356708826689592,135,1,1.0129870129870129,0.008598897392148693
203980,2020-06-04,Bulloch,Georgia,13031,77,2,2020-06-04,4.343805421853684,135,1,1.0,0.022680124394622473
203981,2020-06-04,Burke,Georgia,13033,123,6,2020-06-04,4.812184355372417,135,1,1.0165289256198347,0.0037143904706699506
203982,2020-06-04,Butts,Georgia,13035,240,24,2020-06-04,5.480638923341991,135,1,1.0126582278481013,0.004305443746869843
203983,2020-06-04,Calhoun,Georgia,13037,136,6,2020-06-04,4.912654885736052,135,1,1.0074074074074073,0.00741875899364888
203984,2020-06-04,Camden,Georgia,13039,68,1,2020-06-04,4.219507705176107,135,1,1.0303030303030303,0.009600545511469886
203985,2020-06-04,Candler,Georgia,13043,13,0,2020-06-04,2.5649493574615367,135,1,1.0,0.02483151535865725
203986,2020-06-04,Carroll,Georgia,13045,568,28,2020-06-04,6.342121418721152,135,1,1.0616822429906543,0.012991608295623734
203987,2020-06-04,Catoosa,Georgia,13047,146,0,2020-06-04,4.983606621708336,135,1,1.006896551724138,0.039072422176344185
203988,2020-06-04,Charlton,Georgia,13049,32,1,2020-06-04,3.4657359027997265,135,1,1.0,0.01520361887048492
203989,2020-06-04,Chatham,Georgia,13051,525,27,2020-06-04,6.263398262591624,135,1,1.0057471264367817,0.015229909489239581
203990,2020-06-04,Chattahoochee,Georgia,13053,166,0,2020-06-04,5.111987788356544,135,1,1.0375,0.03965741553173124
203991,2020-06-04,Chattooga,Georgia,13055,25,2,2020-06-04,3.2188758248682006,135,1,1.0,0.02842431781746964
203992,2020-06-04,Cherokee,Georgia,13057,934,33,2020-06-04,6.839476438228843,135,1,1.0119176598049837,0.010029557171483001
203993,2020-06-04,Clarke,Georgia,13059,299,15,2020-06-04,5.700443573390687,135,1,1.010135135135135,0.014401456410525999
203994,2020-06-04,Clay,Georgia,13061,42,2,2020-06-04,3.7376696182833684,135,1,1.024390243902439,0.022958730887815672
203995,2020-06-04,Clayton,Georgia,13063,1282,51,2020-06-04,7.156176637480615,135,1,1.0174603174603174,0.01204368814659841
203996,2020-06-04,Clinch,Georgia,13065,65,2,2020-06-04,4.174387269895637,135,1,1.1016949152542372,0.027319769266200555
203997,2020-06-04,Cobb,Georgia,13067,3165,190,2020-06-04,8.059908334578276,135,1,1.0219567323216014,0.013352269255130745
203998,2020-06-04,Coffee,Georgia,13069,289,15,2020-06-04,5.666426688112432,135,1,1.0140350877192983,0.01574228479127288
203999,2020-06-04,Colquitt,Georgia,13071,523,15,2020-06-04,6.259581464064923,135,1,1.0717213114754098,0.02881051462700875
204000,2020-06-04,Columbia,Georgia,13073,266,8,2020-06-04,5.583496308781699,135,1,1.0,0.01073582960370725
204001,2020-06-04,Cook,Georgia,13075,47,2,2020-06-04,3.8501476017100584,135,1,1.0444444444444445,0.04306254212272538
204002,2020-06-04,Coweta,Georgia,13077,440,9,2020-06-04,6.0867747269123065,135,1,1.0185185185185186,0.015384425034160532
204003,2020-06-04,Crawford,Georgia,13079,28,0,2020-06-04,3.332204510175204,135,1,1.0,0.01256836246815836
204004,2020-06-04,Crisp,Georgia,13081,238,8,2020-06-04,5.472270673671475,135,1,1.0042194092827004,0.002016011639015739
204005,2020-06-04,Dade,Georgia,13083,40,1,2020-06-04,3.6888794541139363,135,1,1.0256410256410255,0.018472365898672547
