"fips","county","state","date.x","weekly new cases","days_from_start","log_rolled_cases.x.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","log_rolled_cases.x.y","block.mse","block new cases","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last","metrics.testPositivityRatio","metrics.vaccinationsInitiatedRatio","metrics.vaccinationsCompletedRatio","d20","rolled_cases.2021.06.09","rolled_cases.2021.06.10","rolled_cases.2021.06.11","rolled_cases.2021.06.12","rolled_cases.2021.06.13","rolled_cases.2021.06.14","rolled_cases.2021.06.15","rolled_cases.2021.06.16","rolled_cases.2021.06.17","rolled_cases.2021.06.18","rolled_cases.2021.06.19","rolled_cases.2021.06.20","rolled_cases.2021.06.21","rolled_cases.2021.06.22"
38105,"Williams","North Dakota","2021-06-22",9,518,4.27268997063642,589.339132384545,-0.0559698523833559,3.60105174203615,3.89604660278683,3.88090100395293,-12.3842953133475,4.31715323543447,4.43747013556632,4.44130626935397,4.61512051684126,0.00197698191650156,-29.285714285714,0.0271525027543252,0.0284314561932062,0.0104063868672006,0.0385659072065452,0.0394637335908636,0.0127142857142857,0.278,0.251,0,120.428571428571,114.571428571429,111.428571428571,108.857142857143,105.857142857143,103.142857142857,101,98.5714285714286,96.4285714285714,92.2857142857143,86.8571428571429,82,77,71.7142857142857
39001,"Adams","Ohio","2021-06-22",3,518,3.13549421592915,700.682193139089,-0.0166499464034976,2.92509909981475,3.01464048052347,3.01894459110467,-41.6305953041591,2.99851874938041,3.10978024188758,3.11347390094113,3.2188758248682,0.018762278436245,-1.99999999999998,0.000661208461010544,0.00048489427217162,0.0436854470510161,0.00820093174177656,0.00702291679447245,0.00685714285714288,0.261,0.235,0,26,25.4285714285714,25.5714285714286,25.2857142857143,25.2857142857143,25.2857142857143,25,24.5714285714286,24.4285714285714,24.1428571428571,23.8571428571429,23.7142857142857,23.2857142857143,23
39003,"Allen","Ohio","2021-06-22",10,518,4.4576640488795,578.151299491482,-0.069170098223006,3.67648060650621,3.98077362708729,3.97347336131846,-10.0209078542179,4.47015997695879,4.62153486514398,4.6245961538717,4.84080680154977,0.000156148218562794,-40.2857142857148,0.026853644423187,0.0278663276771269,0.00280324581266533,0.0367615895831521,0.0374483368781819,0.0115714285714286,0.345,0.321,0,154.857142857143,148.571428571429,142.714285714286,138.142857142857,134.571428571429,130.142857142857,126.571428571429,122.714285714286,118.428571428571,113.857142857143,107.571428571429,100.428571428571,93.1428571428571,86.2857142857143
39005,"Ashland","Ohio","2021-06-22",3,518,3.4106761256167,548.978775946451,-0.095868853214781,2.29881775148045,2.76360257715795,2.73959415311323,-7.23016034213995,3.20357447343015,3.57509174293111,3.56625108549545,4.07511320029421,0.0428910943383989,-28.5714285714283,0.0270324952168784,0.0242035681412746,0.0607215826302192,0.0482061653639661,0.0456141111465457,0.00314285714285712,0.337,0.302,0,91.7142857142857,87.7142857142857,82.1428571428571,76,69.7142857142857,63.8571428571429,58.8571428571429,53.8571428571429,48.8571428571429,45.2857142857143,41.7142857142857,37.8571428571429,34.1428571428571,30.2857142857143
39007,"Ashtabula","Ohio","2021-06-22",31,518,4.801676377774,607.319165163908,-0.0510862444441064,4.20537699399816,4.44445575745063,4.44407266666526,-13.5681764847349,4.65905599359948,4.87972259120079,4.87819461345013,5.18498868124104,0.0203405739820876,-56.8571428571443,0.00609121143026,0.00585504039098781,0.0297022066782095,0.0162539511800608,0.0159357336180168,0.00442857142857141,0.417,0.385,0,225.714285714286,219.142857142857,212,204.142857142857,195.428571428571,186.857142857143,178.571428571429,171,161.857142857143,152.571428571429,144.857142857143,136.714285714286,128.142857142857,121.714285714286
39009,"Athens","Ohio","2021-06-22",10,518,3.10394585819422,2370.76424540767,-0.00166267966648828,3.06891467997042,3.09064442086231,3.0923071005288,-416.885582070014,2.96832302962816,3.04550478470959,3.05331868782746,3.18988828799495,0.0183935516282589,-2.00000000000012,0.00341535907003594,0.00256311037934497,0.0436936837052181,0.0188279938357653,0.0163105842304265,0.00428571428571429,0.416,0.389,0,24.5714285714286,24.5714285714286,24.8571428571429,24.8571428571429,24.7142857142857,24.5714285714286,24.2857142857143,23.7142857142857,23.4285714285714,23.2857142857143,22.8571428571429,22.2857142857143,22.2857142857143,22.2857142857143
39011,"Auglaize","Ohio","2021-06-22",6,518,3.64133850934494,622.970431414289,-0.0331077888282143,3.24358435467334,3.40599863798555,3.40958398754744,-20.936075923296,3.5623003074474,3.72739928933913,3.72720799964504,3.96759285658296,0.00624703735919633,-14.7142857142857,0.00740645785320836,0.00737356936439894,0.0217058100186788,0.0236343805370822,0.0235818477408043,0.00471428571428571,0.326,0.311,0,59.2857142857143,58.1428571428571,57.8571428571429,57.4285714285714,56,54.7142857142857,52.8571428571429,49.7142857142857,47.1428571428571,44.2857142857143,42,40.5714285714286,39.2857142857143,38.1428571428571
39013,"Belmont","Ohio","2021-06-22",9,518,4.23203396499529,580.598846578268,-0.0632452411093812,3.51636245724602,3.7903511875248,3.78931727722962,-10.9596733035006,3.90981552709256,4.23707941138587,4.22441874631442,4.72865124275911,0.103824721724476,-44.2857142857138,2.54565292802125e-05,5.79915555574749e-05,0.0761379612186286,0.00119220366195364,0.00179942286471671,0.00299999999999999,0.356,0.33,0,166.142857142857,159.285714285714,151,141.857142857143,132.428571428571,123.142857142857,113.142857142857,105,97.2857142857143,90.4285714285714,84.5714285714286,79.1428571428571,73.4285714285714,68.8571428571429
39015,"Brown","Ohio","2021-06-22",4,518,3.32708940950844,590.419339138214,-0.0429445746380682,2.80940569239411,3.02373923288192,3.02647738704196,-16.1405063713334,3.1629603866164,3.30636696655897,3.30896517273281,3.50512830451039,0.0269383361554957,-5.42857142857133,0.000429419641794044,0.0003284879586991,0.049331112780732,0.00622839978097606,0.00544747511859255,0.0104285714285714,0.316,0.292,0,40.1428571428571,38.4285714285714,36.7142857142857,35.7142857142857,34.8571428571429,34.1428571428571,33.2857142857143,33.2857142857143,33.1428571428571,32.1428571428571,31,30.1428571428571,29,27.8571428571429
39017,"Butler","Ohio","2021-06-22",154,518,5.54350193445341,41.9765136529027,0.011769056310641,5.6847306101811,5.6093078157841,5.6258853286279,58.8957315068022,5.17385762798361,5.30117807839874,5.30759343229625,5.49482355833395,0.136636913305539,12.1428571428576,0.0587208512132043,0.0556528213900346,0.0666806489544856,0.0437131363747892,0.0425558617903541,0.00728571428571428,0.446,0.405,0,293.571428571429,279.428571428571,267.142857142857,259,253.285714285714,248.428571428571,243.428571428571,241.571428571429,239.428571428571,244.285714285714,248.142857142857,248.285714285714,248.428571428571,255.571428571429
39019,"Carroll","Ohio","2021-06-22",4,518,3.5305534028762,741.205303003084,-0.0155583636399649,3.36380072501079,3.41441987531562,3.42164485739645,-44.5514191980608,3.45300198872505,3.51049928904641,3.51375211238261,3.59142411796322,0.00601422183684318,-2.14285714285695,0.000402167481498159,0.000282283362249987,0.0219657955288176,0.00568016158980978,0.00475882633014483,0.0211428571428571,0.356,0.331,0,34.7142857142857,35.2857142857143,35.4285714285714,35.7142857142857,35.8571428571429,36.5714285714286,36.2857142857143,35.8571428571429,35.4285714285714,35.1428571428571,35.1428571428571,34.8571428571429,34.4285714285714,34.1428571428571
39021,"Champaign","Ohio","2021-06-22",10,518,3.67086094861126,591.437493137334,-0.0469600542791163,3.11990828389763,3.3413698968477,3.34214056865745,-14.7603573121975,3.37765124346564,3.65890820706335,3.65273794065102,4.08236837117539,0.0859719311915815,-20.0000000000002,0.000142868030511138,0.000328443417526927,0.0798749146999277,0.00325611395126041,0.00493699113476263,0.0114285714285714,0.359,0.331,0,79.2857142857143,77,74,70.5714285714286,67.1428571428571,63.4285714285714,59.2857142857143,55,51.2857142857143,48.2857142857143,45.8571428571429,43.4285714285714,41.1428571428571,39.2857142857143
39023,"Clark","Ohio","2021-06-22",13,518,3.89473150831808,574.081957302787,-0.0635527365774104,3.1192927031677,3.45102980637998,3.44986235227621,-10.9066456912624,3.6092227434039,3.95118997965628,3.94512673720131,4.41539232851768,0.0815152548428203,-33.5714285714287,0.00318755898584637,0.00253967909419315,0.0733064048970798,0.0144961138444641,0.012939333244307,0.003,0.428,0.398,0,132.428571428571,122.571428571429,112.857142857143,103,95.4285714285714,89,82.7142857142857,76.5714285714286,70.2857142857143,64.7142857142857,60.5714285714286,56.4285714285714,52.4285714285714,49.1428571428571
