"state","fips","county","date.x","weekly.new.cases","days_from_start","log_rolled_cases.x.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","log_rolled_cases.x.y","block.mse","block.new.cases","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last","b1","b2","R0"
"Texas",48163,"Frio","2020-08-29",28.4285714285714,221,4.91998092582813,396.997260751027,-0.0271826264409375,4.59378940853688,4.73028519401982,4.72970254074157,-25.499639707959,5.10730614368302,5.08232667482731,5.081839533132,5.04618627836057,0.0350907372443817,-18.4285714285699,0.0263561422181045,0.0261982087583484,0.0380743788805154,0.0329972313809028,0.0328982184573461,5.054676538,5.42004789,0.989634051632901
"Texas",48165,"Gaines","2020-08-29",27.2857142857143,221,4.57911950878815,374.43084073606,-0.028958002361188,4.24034463178556,4.37635923608099,4.37641349225983,-23.9362913199068,4.59665022435604,4.6524572299981,4.65543124449521,4.71210089681543,0.000307325988322264,-13.8571428571422,0.00537842135226835,0.0058234810066242,0.00382840315354197,0.016015681850889,0.0166651548535923,5.054676538,5.42004789,0.988958898136064
"Texas",48167,"Galveston","2020-08-29",262,221,7.22859576991165,413.001002367389,-0.0366931928418871,6.78827745580901,6.97338156038436,6.97174342001844,-18.8903479603629,7.1716251729215,7.31454689909839,7.31230509464847,7.50925698506622,0.00324564892141413,-446.571428571431,0.00738759660847568,0.0070072510478943,0.00788128134475096,0.0118904323775447,0.0115803023714857,5.054676538,5.42004789,0.986019986125371
"Texas",48169,"Garza","2020-08-29",0.714285714285722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054676538,5.42004789,NA
"Texas",48171,"Gillespie","2020-08-29",5.57142857142856,221,3.15395627876888,-202.642354264507,0.00748909221846237,3.22512030426263,3.20775278949915,3.20637992429812,92.5542322541008,2.54256741819955,2.84505484624022,2.84369656115295,3.32194801000801,0.373796338828263,-4.28571428571427,0.0954200950182583,0.0962610923751167,0.193848235844278,0.0979409367872522,0.0983715975089665,5.054676538,5.42004789,1.00286540284195
"Texas",48173,"Glasscock","2020-08-29",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054676538,5.42004789,NA
"Texas",48175,"Goliad","2020-08-29",0.571428571428569,221,3.78418963391826,904.986784693334,-0.00547856558136251,3.70891649765817,3.74036110926736,3.74583967484872,-126.519829007424,3.42879050638114,3.63352281529987,3.63640229196289,3.88008995832514,0.126308539854146,-4.42857142857162,0.0227004902325869,0.0218410984422334,0.0939168387206668,0.0398148172247873,0.0390538942950242,5.054676538,5.42004789,0.997906438270663
"Texas",48177,"Gonzales","2020-08-29",54.4285714285714,221,5.06980227143192,372.554703363829,-0.0326264047581212,4.71630026163843,4.8414650216016,4.84141743812507,-21.2449758316509,5.20045146486446,5.12970302259691,5.13077799034322,5.03323512601349,0.0170692117445733,5.71428571428737,0.00358809999013011,0.0037180382967499,0.0257700767086602,0.0118152046091675,0.0120272380749236,5.054676538,5.42004789,0.987564579013145
"Texas",48179,"Gray","2020-08-29",8.42857142857144,221,3.79066214842388,259.004195867708,-0.0898266982513661,2.78500454673483,3.17028700199636,3.16187526066432,-7.71649402742468,3.91299587934279,4.0584596558088,4.05942189464367,4.29436569611546,0.0149655417205403,-29.0000000000002,0.0717155049615764,0.0722318011881258,0.03227239097786,0.0706466302981572,0.0709004748237817,5.054676538,5.42004789,0.965950466388502
"Texas",48181,"Grayson","2020-08-29",93,221,5.88887795833288,1041.4359332973,-0.00713378451065397,5.80287666136567,5.83851249931947,5.8389414667583,-97.1640199566952,6.03242291848424,5.9891078702558,5.98927428788725,5.90847106159705,0.0206051555848557,-7.14285714285683,0.0100460352440763,0.0100794229879897,0.024375604515329,0.0170202053145103,0.0170484649647574,5.054676538,5.42004789,0.997274349144088
"Texas",48183,"Gregg","2020-08-29",115.571428571428,221,6.22342624687307,2342.53528621821,-0.00292655677392529,6.18830756558597,6.20086304963293,6.20294034945559,-236.847337709513,6.11600935674583,6.17879882064792,6.17900568666063,6.26720054854136,0.0115383882846076,-22.5714285714286,0.00199160717148125,0.00197318616958706,0.017260088874872,0.00717087733586837,0.00713763744444782,5.054676538,5.42004789,0.998881382236959
"Texas",48185,"Grimes","2020-08-29",34.2857142857142,221,4.82258306259331,390.823705513237,-0.0275854069586013,4.49155817909009,4.63023031355073,4.6294852138831,-25.1273139308833,4.70371898148626,4.74868892610458,4.75083020283805,4.82945594188108,0.0141286697774234,-0.857142857143856,0.00546034340741503,0.005148472883058,0.0246473890784852,0.0153225222934768,0.01487851195593,5.054676538,5.42004789,0.989480859005698
"Texas",48187,"Guadalupe","2020-08-29",53,221,5.52146091786225,460.193852128827,-0.0226109743129379,5.25012922610699,5.36261413994991,5.36318409767168,-30.6553433287185,5.32559891572586,5.45114104829213,5.45144149821119,5.62762111369064,0.0383619238808751,-28.0000000000002,0.00494488405635862,0.00490271912827124,0.0354728585513962,0.0127357361785593,0.0126813212467996,5.054676538,5.42004789,0.991373653499648
"Texas",48189,"Hale","2020-08-29",65.1428571428571,221,5.87452936620687,1677.79028294961,-0.00401872240821933,5.82630469730824,5.84398407986455,5.84639830934933,-172.479487297326,5.6664050173342,5.79812395965082,5.79720766599314,5.98033137411565,0.0433157445936729,-39.7142857142853,0.00583778615099536,0.00597864532394195,0.0354282591674325,0.0130062174845139,0.0131621948574335,5.054676538,5.42004789,0.998464083985209
"Texas",48191,"Hall","2020-08-29",0.999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054676538,5.42004789,NA
"Texas",48193,"Hamilton","2020-08-29",3,221,3.66721795733276,273.054117431204,-0.0650719747013384,2.93176038967447,3.2204894096738,3.21171413442339,-10.6520077766395,3.60815144505721,3.65633386954537,3.66392342723728,3.71705033108063,0.0034888528723977,-1.99999999999977,0.000118463366963615,1.08539285500255e-05,0.0161066271388217,0.00296794134246287,0.000898373135660713,5.054676538,5.42004789,0.975275146717937
"Texas",48195,"Hansford","2020-08-29",3.57142857142857,221,3.67810735713203,362.036631251372,-0.0254265131929054,3.40808417284561,3.49965198356265,3.50012176478169,-27.260803528238,3.52819613335164,3.63495512153984,3.63810082275206,3.79388276312392,0.0224733750153342,-4.85714285714263,0.00186211543660386,0.00160052279309572,0.0407577074904312,0.0117321848989849,0.0108769349275234,5.054676538,5.42004789,0.990302106141229
"Texas",48197,"Hardeman","2020-08-29",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054676538,5.42004789,NA
"Texas",48199,"Hardin","2020-08-29",61.1428571428571,221,5.88650077813261,360.12274322595,-0.04084366316081,5.39637682020289,5.6024598266985,5.60059513600694,-16.9707398141758,5.88424447775598,5.95778472465068,5.9566931781899,6.05812135879739,5.0908913895779e-06,-67.4285714285721,0.00508140103119111,0.00492697302580264,0.000383300786268673,0.0121097319451445,0.0119242998010029,5.054676538,5.42004789,0.98444485505455
"Texas",48201,"Harris","2020-08-29",6381.71428571428,221,9.99398748030751,697.294672909634,-0.0207647997013753,9.744809883891,9.8492682474225,9.84863388239788,-33.380874871335,9.94958464171365,10.0542981221773,10.0521499167445,10.1957413017876,0.0019716120751923,-4894.42857142842,0.00363737352274613,0.003382869012287,0.00444295519494615,0.00603469255776322,0.00581974277550338,5.054676538,5.42004789,0.992076591048425
"Texas",48203,"Harrison","2020-08-29",26.5714285714286,221,4.94977254869255,318.002328804284,-0.0485260739310165,4.36745966152035,4.60900368231598,4.61009003117544,-14.2840152604414,5.01044786989664,5.05077115060436,5.05047933361019,5.14666356691937,0.00368149460321947,-30.7142857142871,0.0102007175881402,0.0101418565284478,0.0122582039088072,0.0204046955528266,0.0203457399157141,5.054676538,5.42004789,0.981532647224291
"Texas",48125,"Dickens","2020-08-29",10.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054676538,5.42004789,NA
"Texas",48127,"Dimmit","2020-08-29",8,221,3.75453342433537,285.53474071584,-0.0545283618691934,3.13727516180356,3.37043559481677,3.37283489125102,-12.7116817157045,3.446359921435,3.72159137857005,3.71751157407206,4.16777203077692,0.0949709078898842,-21.8571428571431,0.00108517837920442,0.00137061739691893,0.08208037273098,0.00877393860760507,0.00986057282733163,5.054676538,5.42004789,0.979260329677383
"Texas",48129,"Donley","2020-08-29",3.14285714285715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.054676538,5.42004789,NA
"Texas",48131,"Duval","2020-08-29",26.2857142857143,221,4.34750912979117,-21.6214925655963,0.0182207141179119,4.54828185372419,4.47273257043414,4.47505412861655,38.0417131883183,3.97050282761348,4.05353213826865,4.05438691975705,4.24440525679783,0.142133751881696,7.57142857142902,0.0864224715446317,0.0859206300152869,0.086717771239229,0.0676196375317654,0.0674230234562383,5.054676538,5.42004789,1.00697856781939
"Texas",48213,"Henderson","2020-08-29",52.5714285714287,221,5.1793729424554,1186.49356815544,-0.0053368441712597,5.11533081240028,5.13908879692201,5.14201503325658,-129.879598938399,5.1117062327142,5.19951266847369,5.1998913124468,5.31038709063537,0.00457878360719982,-24.8571428571431,0.000405608564091799,0.000421003507103993,0.0130646529016157,0.00388844870644565,0.00396155484831201,5.054676538,5.42004789,0.997960567634958
"Texas",48215,"Hidalgo","2020-08-29",3182.57142857143,221,8.98915917968971,-582.617905175781,0.0112558948671594,9.12422991809562,9.06611080660692,9.06795044375983,61.5808150964783,8.92722587212285,8.89790819404455,8.89910202632218,8.85972864220125,0.00383573458617114,973.142857142889,0.00832674238121299,0.00811029087266283,0.00688977760086753,0.0101512259179182,0.0100184179151046,5.054676538,5.42004789,1.004308167433
