"fips","county","state","date.x","new_rolled_cases","days_from_start","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","block.mse","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last"
21041,"Carroll","Kentucky","2020-08-16",1.71428571428572,208,5.10594547390058,-168.712160816927,0.0135778858732879,5.20999992776493,5.20320861859918,5.2009906750136,51.0497132637997,5.13057275735567,5.10119588245536,5.10191426715638,0.000606503090377318,2.25586188965094e-05,1.62506278144826e-05,0.00482325625703869,0.000930208023077829,0.000789512297929089
21043,"Carter","Kentucky","2020-08-16",0.571428571428569,208,4.6388812433304,-640.36196962595,0.00546804478443997,4.67715755682148,4.68053132495307,4.67715755682148,126.763259608331,4.69464840010504,4.69749028191157,4.69464840010504,0.00310997577472726,0.00343501940340907,0.00310997577472726,0.0120216823517135,0.0126343045891584,0.0120216823517135
21045,"Casey","Kentucky","2020-08-16",1.57142857142858,208,5.36062124988419,-488.954785546576,0.00769149069789399,5.41446168476945,5.41600632272006,5.41446168476945,90.1187049149961,5.44339030406128,5.43798656553165,5.44339030406128,0.0068507163293701,0.0059853920652312,0.0068507163293701,0.0154401981260807,0.014432154789733,0.0154401981260807
21047,"Christian","Kentucky","2020-08-16",17.1428571428571,208,6.5606264621724,-82.9965674912854,0.0224584645580975,6.69254534943775,6.72098803403532,6.71783571407908,30.8635160149462,6.53795988219872,6.5395522330424,6.53795988219872,0.000513773847703223,0.000444123133423736,0.000513773847703223,0.00345494139993672,0.0032122281692931,0.00345494139993672
21049,"Clark","Kentucky","2020-08-16",2.85714285714286,208,5.15823394393222,-439.289499380593,0.00796897516315074,5.21401677007427,5.21386181216606,5.21401677007427,86.9807178926998,5.23983511704364,5.24227088249294,5.23983511704364,0.00665875145315999,0.00706220704265823,0.00665875145315999,0.0158195952332504,0.0162918044187537,0.0158195952332504
21051,"Clay","Kentucky","2020-08-16",4.71428571428572,208,5.14666356691937,9.79885633842032,0.0258558107532775,5.30564193686991,5.33719138287272,5.32765424219231,26.8081781373683,5.04764655595471,5.05039461596303,5.04764655595471,0.00980436846037564,0.00926771091823431,0.00980436846037564,0.0192390681219384,0.018705118316868,0.0192390681219384
21053,"Clinton","Kentucky","2020-08-16",1.42857142857143,208,3.80666248977032,113.840990559358,0.0393410058756414,3.97969718477837,4.08698384519027,4.08204953089981,17.6189491125624,3.73751840498564,3.84790499233894,3.83933918858478,0.00478090446071105,0.00170094401812263,0.00106776664541093,0.0181639651454501,0.0108342945242588,0.00858408091136853
21055,"Crittenden","Kentucky","2020-08-16",0.428571428571431,208,3.47903986842609,34.3688454447318,0.0200369563707456,3.61929856302131,3.61787519182345,3.61929856302131,34.5934366345158,3.54811716618562,3.49688891019509,3.488093145042,0.00477167306575877,0.000318588292071516,8.19618174841816e-05,0.0198552762750547,0.00513045048175177,0.00260223422504371
21057,"Cumberland","Kentucky","2020-08-16",0.857142857142861,208,4.16333743370905,-68.4268860422445,0.0151628614331025,4.2975625994743,4.26980026407125,4.26947746374077,45.7134811669988,4.34283711597807,4.35289824400652,4.34283711597807,0.0322201359346791,0.0359333008006331,0.0322201359346791,0.0431143728143857,0.0455309744443636,0.0431143728143857
21059,"Daviess","Kentucky","2020-08-16",8.42857142857133,208,6.68425452102009,-385.330507519028,0.0112656511612218,6.76311407914864,6.7651924486131,6.76311407914864,61.5274847978488,6.69454871783606,6.69569077621815,6.69454871783606,0.000105970488085922,0.00013078793295515,0.000105970488085922,0.00154006655246257,0.00171092455592408,0.00154006655246257
21061,"Edmonson","Kentucky","2020-08-16",2.57142857142857,208,4.80402104473326,-23.8134232566639,0.0207236534331933,4.94908661876561,4.94756257337609,4.94908661876561,33.4471517193838,4.75227209611149,4.80168601276808,4.8020999216434,0.00267795368345863,5.45237427841357e-06,3.69071392639464e-06,0.010772007062397,0.000486057813535225,0.000399898974623879
21063,"Elliott","Kentucky","2020-08-16",0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21065,"Estill","Kentucky","2020-08-16",0.714285714285712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21067,"Fayette","Kentucky","2020-08-16",76.4285714285716,208,8.3429078291686,-203.812815284077,0.0202589805842091,8.48472069325806,8.48622722858384,8.48472069325806,34.2143168398227,8.36238876258567,8.36153821011359,8.36238876258567,0.000379506766800298,0.000347091094155419,0.000379506766800298,0.0023350292027631,0.00223308003953411,0.0023350292027631
21069,"Fleming","Kentucky","2020-08-16",0.714285714285715,208,4.12943588203337,-122.832728274906,0.0124714857629884,4.213276060952,4.22257232546527,4.21673628237429,55.5785568562327,4.16515967047846,4.19280144462571,4.19054367722592,0.00127618906086958,0.00401519452264375,0.00373416263329462,0.0086510093546966,0.0153448471903959,0.0147980975944975
21071,"Floyd","Kentucky","2020-08-16",3.42857142857143,208,4.69265764011121,54.2548444122403,0.0305223122131649,4.90631382560336,4.91857863582018,4.90631382560336,22.7095239613262,4.64851417600838,4.68334405034513,4.67200027471822,0.00194864542299784,8.6742954330832e-05,0.000426726744979483,0.00940692193811604,0.00198471537460367,0.00440206104455982
21073,"Franklin","Kentucky","2020-08-16",6.71428571428572,208,5.81881039571617,-10.8554526157482,0.0265874591022068,6.00492260943162,6.00611420904603,6.00492260943162,26.070455920416,5.79734404462187,5.79805921596017,5.79734404462187,0.000460804229303777,0.000430611461265826,0.000460804229303777,0.00368913053260923,0.00356622373729124,0.00368913053260923
21075,"Fulton","Kentucky","2020-08-16",2,208,4.52178857704904,82.671028295238,0.035543090855005,4.70338066405175,4.77573149612468,4.77059021303408,19.5016011237621,4.64897352705548,4.65196013562071,4.64897352705548,0.0161760115081407,0.0169446346609778,0.0161760115081407,0.0281271332879173,0.0287876260363817,0.0281271332879173
21077,"Gallatin","Kentucky","2020-08-16",0.285714285714292,208,4.39972621177328,-759.627893819272,0.00463189953285219,4.5143784860862,4.43507283912235,4.43214950850325,149.646419496738,4.39773706524762,4.40070826092714,4.39773706524762,3.95670390054552e-06,9.64420540597401e-07,3.95670390054552e-06,0.000452106888000732,0.000223206878471723,0.000452106888000732
