"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","block.mse","block.mse.0","block.mse.last"
47143,"Rhea","Tennessee",164,"2020-07-03",5.59364868024572,-560.504994976577,0.00772685805342326,5.6522352615541,5.65174622884251,5.64773668661968,89.7062138022398,5.61239419665461,5.61287723018016,5.61239419665461,0.00035139438543596,0.000369737132581261,0.00035139438543596
47145,"Roane","Tennessee",164,"2020-07-03",3.84710345932883,39.7364368479734,0.0305051848143747,4.00421925334592,4.05277607441126,4.06063975302945,22.7222744191774,3.88225447770886,3.79712435043706,3.78664099578149,0.00123559409315323,0.00249791132561539,0.0036557094982134
47147,"Robertson","Tennessee",164,"2020-07-03",6.65819441435022,-369.374629318385,0.0124831479571102,6.74557645004999,6.74786127050418,6.74557645004999,55.526633421431,6.73124655378095,6.66224841215895,6.66130498335338,0.00533661507540678,1.64348982331854e-05,9.67563952342312e-06
47149,"Rutherford","Tennessee",164,"2020-07-03",7.8487107484937,-154.629281254633,0.0246327353141829,8.02113989569298,8.02200707897573,8.02113989569298,28.1392696230877,7.85184611969444,7.8518400871659,7.85184611969444,9.83055256642861e-06,9.79276052532646e-06,9.83055256642861e-06
47153,"Sequatchie","Tennessee",164,"2020-07-03",3.27983652465789,-37.3148299635588,0.0161874429060743,3.37208441652368,3.38849058812692,3.39314862500041,42.8200540741271,3.34094550684135,3.24034703473152,3.23952442666747,0.00373430770349841,0.00155941981464486,0.00162506524438922
47155,"Sevier","Tennessee",164,"2020-07-03",6.45519856334012,22.1911757560975,0.0455204293368766,6.77384156869826,6.77620897975532,6.77384156869826,15.2271670249476,6.59607923263743,6.59317486958986,6.59607923263743,0.0198473629816581,0.0190374610863221,0.0198473629816581
47157,"Shelby","Tennessee",164,"2020-07-03",9.21363493892561,-173.418305498669,0.0273062687731444,9.40477882033762,9.4029373812727,9.40477882033762,25.3841777622013,9.18100312214966,9.17962941923181,9.18100312214965,0.00106483546609919,0.00115637536964539,0.00106483546609977
47159,"Smith","Tennessee",164,"2020-07-03",4.4724547868809,104.754433095414,0.0754901171607273,5.00088560700599,5.0041689340195,5.00088560700599,9.18195926341132,4.12719994162101,4.18039986546563,4.18552704130329,0.119200908175431,0.0852960771228793,0.0823275311822496
47163,"Sullivan","Tennessee",164,"2020-07-03",4.51867815463465,14.0761193545585,0.0300475824719187,4.71518324550743,4.72884258415043,4.72901123193808,23.0683177659212,4.40980002165169,4.39568294481298,4.39018966507505,0.0118544478418552,0.0151278216390768,0.0165092919493076
47165,"Sumner","Tennessee",164,"2020-07-03",7.26032179487633,-154.902167321292,0.0227666116409978,7.41968807636331,7.42044421382639,7.41968807636331,30.4457769777096,7.20137816917439,7.20119907240354,7.20137816917439,0.00347435101089043,0.00349549631259459,0.00347435101089043
