"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.grf","t0.grf"
"2020-03-24","Twin Falls","Idaho",16083,1,0,2020-03-24,63,0,1,0,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-25","Ada","Idaho",16001,37,0,2020-03-25,64,3.61091791264422,15,2.70805020110221,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-25","Blaine","Idaho",16013,52,0,2020-03-25,64,3.95124371858143,26.2857142857143,3.26902560855367,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-25","Madison","Idaho",16065,2,0,2020-03-25,64,0.693147180559945,1.71428571428571,0.538996500732684,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-25","Teton","Idaho",16081,2,0,2020-03-25,64,0.693147180559945,1.71428571428571,0.538996500732684,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-25","Twin Falls","Idaho",16083,1,0,2020-03-25,64,0,1,0,67.2890980599533,0.46853659444551,0.250563216860381,64.8878111628102
"2020-03-26","Ada","Idaho",16001,54,0,2020-03-26,65,3.98898404656427,22.2857142857143,3.10394585819422,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-26","Bingham","Idaho",16011,1,0,2020-03-26,65,0,1,0,66.8209700049281,0.0555364528124102,0.0868852349329237,67.4331893309942
"2020-03-26","Blaine","Idaho",16013,82,2,2020-03-26,65,4.40671924726425,35.5714285714286,3.5715427474094,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-26","Canyon","Idaho",16027,22,1,2020-03-26,65,3.09104245335832,6.28571428571429,1.83827948486295,56.9327885629441,0.258746582599273,0.248777388266513,56.6316893513035
"2020-03-26","Kootenai","Idaho",16055,10,0,2020-03-26,65,2.30258509299405,4.85714285714286,1.58045037556085,57.9722676014226,0.226328655175839,0.213913360072746,57.4069348559975
