"fips","date.x","days_from_start.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases","lm_mse","grf_mse"
2020,"2020-04-07",77,"Anchorage","Alaska",0.0666923482170714,11.091118315154,4.32892573970644,0.0821806536884056,22.8531058423428,5.02509173289202,"2020-04-14",84,4.78630055741189,0.209191723871098,0.0570212254871801
2090,"2020-04-07",77,"Fairbanks North Star Borough","Alaska",0.102632103062518,38.8348350151347,3.81433904306218,0.0821806536884056,30.2080739112224,4.42065564913414,"2020-04-14",84,4.33261127511053,0.268606106512377,0.00775181179721001
2110,"2020-04-07",77,"Juneau City and Borough","Alaska",0.139046315989385,58.540094511326,2.42773553572298,0.0821806536884056,48.1884497458922,2.94301660947777,"2020-04-14",84,2.74543773317383,0.100934686265103,0.0390374123615266
2122,"2020-04-07",77,"Kenai Peninsula Borough","Alaska",0.0692928661241746,43.4800227341432,2.25340243104421,0.0821806536884056,48.1878350028596,2.94306712946204,"2020-04-14",84,2.60796674254523,0.125715850990189,0.112292269311794
2130,"2020-04-07",77,"Ketchikan Gateway Borough","Alaska",0.0198193789129516,-56.8904975355225,2.63380712458719,0.0821806536884056,42.0539289197768,3.44715554103307,"2020-04-14",84,2.66921036778594,0.00125338962899035,0.605198692578494
2170,"2020-04-07",77,"Matanuska-Susitna Borough","Alaska",0.0811754788866769,59.2613316761838,1.35876941711103,0.0821806536884056,59.4354888526835,2.0187275836226,"2020-04-14",84,2.34454929209308,0.971761961919612,0.106159785710621
4001,"2020-04-07",77,"Apache","Arizona",0.074703586812028,36.0248660310532,2.98628589077167,0.0856896801580961,40.8294739976096,3.69926856540161,"2020-04-14",84,4.19612725653204,1.46371613030492,0.24686855895185
4003,"2020-04-07",77,"Cochise","Arizona",0.12686441250945,62.1672212531308,1.75488734909478,0.0969555107357501,58.6712779716087,2.45575918054652,"2020-04-14",84,2.55389952127496,0.638420451292088,0.00963152647829256
4005,"2020-04-07",77,"Coconino","Arizona",0.139178346829844,41.2202557820631,4.84058730341729,0.123258970428262,37.0512010141489,5.78686062583943,"2020-04-14",84,5.44056069977458,0.359968076336501,0.119923638792518
4007,"2020-04-07",77,"Gila","Arizona",0.158213246174382,71.2433208605018,0.752569647669979,0.10152597424422,69.145770026635,1.50809016969358,"2020-04-14",84,1.09861228866811,0.119745509388961,0.167672135049109
4009,"2020-04-07",77,"Graham","Arizona",-0.010703392209246,146.16087921788,0.750959408014502,0.0624050121097454,61.0375733094976,1.43297051568994,"2020-04-14",84,0.693147180559945,0.00334225364325739,0.547338567202873
4011,"2020-04-07",77,"Greenlee","Arizona",0,75,0,0.0624050121097454,76,0.499240096877963,"2020-04-14",84,0.451985123743056,0.204290552085026,0.00223303248598074
4012,"2020-04-07",77,"La Paz","Arizona",0.0328044178592453,51.1428410953984,0.815424627500212,0.0721462212268832,63.606998411965,1.47127800405055,"2020-04-14",84,1.34992671694902,0.285692483625138,0.0147261348811997
4013,"2020-04-07",77,"Maricopa","Arizona",0.126086290963269,20.5290558129562,6.99412560877484,0.109956871066697,12.7588219674295,7.83345702756699,"2020-04-14",84,7.52031198282285,0.276872100233799,0.0980598190478058
4015,"2020-04-07",77,"Mohave","Arizona",0.152635519308977,60.0979687572837,2.42721479679958,0.104933641031506,53.7782318680382,3.17128016849668,"2020-04-14",84,3.46126162240481,1.06925283754425,0.0840892436106684
4017,"2020-04-07",77,"Navajo","Arizona",0.149083784494974,42.3803150802024,5.01214986137201,0.121987945720031,35.4680422294973,5.9203138301949,"2020-04-14",84,5.73611136177156,0.524120254060764,0.0339305493732516
4019,"2020-04-07",77,"Pima","Arizona",0.1333775899325,33.4206219909939,5.67913481966611,0.122473701979574,29.8523372084693,6.63166471562039,"2020-04-14",84,6.36916685823879,0.476144214256763,0.068905125129929
4021,"2020-04-07",77,"Pinal","Arizona",0.0994551864396211,31.6459171553852,4.41124357866956,0.0996709030756402,31.7365014851776,5.20915009486473,"2020-04-14",84,5.01158722182164,0.360412489873106,0.0390310888050411
4023,"2020-04-07",77,"Santa Cruz","Arizona",0.0937440676489679,63.0346970818431,1.21542023384906,0.0635388263906483,58.059676020849,1.64821774182844,"2020-04-14",84,2.07944154167984,0.746532820385607,0.185953965558273
4025,"2020-04-07",77,"Yavapai","Arizona",0.173088064591915,55.1528887286079,3.60838614229754,0.108112836535784,44.1263744197789,4.31085076444348,"2020-04-14",84,4.14765962098982,0.290815884820875,0.0266313493017113
4027,"2020-04-07",77,"Yuma","Arizona",0.0975538778213349,49.3324996171887,2.60151807414518,0.0838442081401583,45.3807842319806,3.2379975650635,"2020-04-14",84,2.76362005225702,0.0262770513077737,0.225034024656458
5001,"2020-04-07",77,"Arkansas","Arkansas",-0.0774791169600464,79.0435216348336,0.2358093687157,-0.00669507112951325,116.507619170087,0.217640822594861,"2020-04-14",84,0.619039208406225,0.146865110029225,0.161120664131968
5003,"2020-04-07",77,"Ashley","Arkansas",0.176079966805635,69.3029318918256,1.17921953018243,0.158664978740061,68.6227448209143,2.43983186607013,"2020-04-14",84,2.27359755612079,1.19766326365675,0.0276338458043326
5005,"2020-04-07",77,"Baxter","Arkansas",0.0972384598193777,64.5548509759688,1.11290866350005,0.100984023667189,64.9237230934858,1.92639919860927,"2020-04-14",84,1.38629436111989,0.0747397396630886,0.291713235479434
5007,"2020-04-07",77,"Benton","Arkansas",0.0496143559324289,0.956271316651899,3.72324626539226,0.0462116167631142,-4.3854025820203,4.08443235157388,"2020-04-14",84,3.92338676407846,0.0400562192143626,0.0259356812517458
5009,"2020-04-07",77,"Boone","Arkansas",0.141629392874977,68.4794632021543,1.0651290607728,0.139787589958195,68.4133139873288,2.1788252731464,"2020-04-14",84,1.09861228866811,0.00112112655028896,1.1668600918355
5011,"2020-04-07",77,"Bradley","Arkansas",-0.0347948619015216,111.361746234321,1.23040707681984,-0.00669507112951325,270.270759576594,1.24709598471376,"2020-04-14",84,1.83827948486295,0.369508864460124,0.349497930848648
5017,"2020-04-07",77,"Chicot","Arkansas",0.0885480482600465,66.012181621988,0.884401823748784,0.092330265318968,66.3393946201151,1.63060838041837,"2020-04-14",84,1.6376087894008,0.567320733106711,4.90057259212157e-05
5019,"2020-04-07",77,"Clark","Arkansas",0.0530064118228083,14.1567493231208,3.27808881383983,0.0496159117954923,10.1015322413446,3.66653985813548,"2020-04-14",84,3.28519846779927,5.05471794230025e-05,0.14542125598355
5023,"2020-04-07",77,"Cleburne","Arkansas",0.0322489952975847,-53.1591408383001,4.16525252553442,0.0337993417047852,-47.3493962091626,4.43952312519071,"2020-04-14",84,4.24235397402728,0.00594463335969653,0.0388756741705068
5025,"2020-04-07",77,"Cleveland","Arkansas",0.0201999513597269,-4.47778009430197,1.6256472434437,0.020153923025998,-4.65586886049366,1.78676355681736,"2020-04-14",84,2.07944154167984,0.205929265111629,0.0856604028231602
5027,"2020-04-07",77,"Columbia","Arkansas",0.0968310845729153,66.1446967143319,0.954299705946259,0.0981330142150129,66.2422794437612,1.74261864377161,"2020-04-14",84,1.09861228866811,0.0208261215318509,0.414744185413693
5029,"2020-04-07",77,"Conway","Arkansas",0.0763634027879988,61.156343804076,1.13351209693592,0.0749972194899328,60.9314861753981,1.73007439461022,"2020-04-14",84,1.38629436111989,0.0638988730859746,0.11818471142661
5031,"2020-04-07",77,"Craighead","Arkansas",0.163351351976957,59.0788458914518,2.76409340064179,0.166274562973501,59.3323788162665,4.10159793192117,"2020-04-14",84,3.44771739729705,0.467341768802906,0.427559753560323
5033,"2020-04-07",77,"Crawford","Arkansas",0.0940300881934566,64.2396089313305,1.10583060937653,0.096652629014247,64.4908773535324,1.88560799354248,"2020-04-14",84,1.18958406687384,0.00701464164275308,0.484449306495239
5035,"2020-04-07",77,"Crittenden","Arkansas",0.161997370874321,53.0539188095249,3.71720482472567,0.159219086893971,52.6971461327022,4.98401180992657,"2020-04-14",84,4.52178857704904,0.647355014502749,0.213650317011754
5037,"2020-04-07",77,"Cross","Arkansas",0.152963166966113,67.1548774392912,1.35297795908943,0.151790020905332,67.1058376177479,2.56436526118013,"2020-04-14",84,1.83827948486295,0.235517570918106,0.52720055457012
5041,"2020-04-07",77,"Desha","Arkansas",0.102697828790093,64.3332234243137,1.1981526233021,0.106559158160273,64.6653951891126,2.06027921200973,"2020-04-14",84,1.74296930505862,0.29682521672019,0.100685577049322
5043,"2020-04-07",77,"Drew","Arkansas",0.0992760745990366,63.7792473468929,1.21322835204623,0.103057559410697,64.1359303376976,2.04714253936096,"2020-04-14",84,1.74296930505862,0.280625477298476,0.0925213564659434
5045,"2020-04-07",77,"Faulkner","Arkansas",0.056209039875717,9.77995793830702,3.72216498481736,0.0536353867985514,6.72240037943007,4.14481394651286,"2020-04-14",84,4.04555439805267,0.104580712592677,0.00985245796052048
5051,"2020-04-07",77,"Garland","Arkansas",0.0799095080563346,30.2260650175459,3.65777262625055,0.0765359718173769,28.3186457426728,4.26162656019217,"2020-04-14",84,4.3640081291712,0.498768585585588,0.0104819856666087
5053,"2020-04-07",77,"Grant","Arkansas",0.0216058648565089,20.847956499479,1.19160759843256,0.0214843559196904,20.5501726677931,1.36317867344803,"2020-04-14",84,2.18122423598978,0.979341089330062,0.66919854239424
5055,"2020-04-07",77,"Greene","Arkansas",0.035814308847276,36.5570754210359,1.41262108271084,0.0412929971396283,41.4586030987589,1.75666178055874,"2020-04-14",84,1.79175946922805,0.143745916130881,0.00123184774992795
5057,"2020-04-07",77,"Hempstead","Arkansas",0.134992671694902,69.9380612932351,0.818317301676938,0.128391795850123,69.6521110374844,1.84215123055553,"2020-04-14",84,1.31218638896617,0.243906675379897,0.280862733320838
5059,"2020-04-07",77,"Hot Spring","Arkansas",0.131692018573925,63.2766274556867,1.67556661342867,0.136476818394209,63.6350530966731,2.77934316013304,"2020-04-14",84,2.06142303617716,0.148885178976262,0.515409304380834
5061,"2020-04-07",77,"Howard","Arkansas",0.0567303586184254,50.6008713957828,1.44090167431274,0.0556530131405276,50.1479049890072,1.88397108848117,"2020-04-14",84,1.94591014905531,0.255033559561815,0.00383644722480736
5063,"2020-04-07",77,"Independence","Arkansas",0.0503666885617607,47.4865994129427,1.43612556720504,0.0476368055181502,45.9958709647012,1.81039530374121,"2020-04-14",84,1.66500776358891,0.052387059821506,0.0211375368315373
5069,"2020-04-07",77,"Jefferson","Arkansas",0.108235756876099,39.2202848971098,3.98088030184862,0.111362291908269,40.1826998072688,4.8795949746952,"2020-04-14",84,4.54632968596516,0.319733005997775,0.111065752672316
5071,"2020-04-07",77,"Johnson","Arkansas",0.178715328881315,65.1771627793681,1.93420691331417,0.167452473865143,64.5164786526436,3.26256384921914,"2020-04-14",84,2.64920970107927,0.511228986511864,0.376203311040381
5075,"2020-04-07",77,"Lawrence","Arkansas",0.103251675425919,66.902585602218,0.939323278614866,0.110033131608134,67.3091911036756,1.83654197193547,"2020-04-14",84,2.30258509299405,1.85848277454441,0.21719619068602
5079,"2020-04-07",77,"Lincoln","Arkansas",0.0329433770764501,18.1571128038162,1.90554004409445,0.036522547678154,23.5806565448372,2.20666835202394,"2020-04-14",84,3.15395627876888,1.55854309499869,0.897354416156732
5085,"2020-04-07",77,"Lonoke","Arkansas",0.209286482341658,63.5408893359811,2.60752344397796,0.170015271541879,61.1249773067859,3.88910319471343,"2020-04-14",84,3.31158522297247,0.495702988640912,0.333527007683793
5091,"2020-04-07",77,"Miller","Arkansas",0.249215791623983,67.876992419681,2.02438176449681,0.165308639092708,63.5001370037073,3.38880445350411,"2020-04-14",84,3.10394585819422,1.16545863240072,0.0811444193219217
5099,"2020-04-07",77,"Nevada","Arkansas",0,74,0,-0.00584552906445909,75.5,-0.0496869970479023,"2020-04-14",84,0,0,0.00246879767563825
5101,"2020-04-07",77,"Newton","Arkansas",0,75,0,-0.00653207506356488,76,-0.052256600508519,"2020-04-14",84,0,0,0.00273075229670695
5105,"2020-04-07",77,"Perry","Arkansas",0.0536560011635502,63.6451747470737,0.662910518146476,0.0419791094988685,60.3476414779155,0.992904948305082,"2020-04-14",84,0.693147180559945,0.00091425575390613,0.0898547193235472
5109,"2020-04-07",77,"Pike","Arkansas",-0.0246132072679218,104.724577010315,0.707003967638271,-0.00669507112951325,188.291459409626,0.698238738948187,"2020-04-14",84,0.693147180559945,0.000192010548134051,2.59239668208768e-05
5111,"2020-04-07",77,"Poinsett","Arkansas",0.0572545479545383,47.3121087418194,1.64251224575608,0.0603332436256796,48.6484291948203,2.13287493393937,"2020-04-14",84,1.90423745265474,0.0685000839261488,0.0522750978481773
5113,"2020-04-07",77,"Polk","Arkansas",0.115812883088695,62.344358579469,1.5814992033371,0.125129245236065,63.1749397538683,2.60582407059404,"2020-04-14",84,1.79175946922805,0.0442093794125366,0.662701175197157
5115,"2020-04-07",77,"Pope","Arkansas",0.154336978254632,61.5607772594675,2.22850600611936,0.157799016344116,61.8227183339062,3.499553232096,"2020-04-14",84,3.29053181377464,1.12789881612584,0.0436899533170725
5119,"2020-04-07",77,"Pulaski","Arkansas",0.0679739621332607,3.83653067862303,4.905236931056,0.0636392924256313,-0.908464413027596,5.40351459619197,"2020-04-14",84,5.51802645541361,0.375511001162432,0.0131129659023963
5121,"2020-04-07",77,"Randolph","Arkansas",0.0699957157909738,59.458513463006,1.15783319040365,0.0691049423662047,59.2710714462665,1.70889118248375,"2020-04-14",84,2.02438176449681,0.750906431262886,0.0995343073389388
5123,"2020-04-07",77,"St. Francis","Arkansas",0.519446526983251,72.7043687091241,1.71190422826282,0.154296196667455,64.9050782505522,2.94627380160247,"2020-04-14",84,3.55942138687705,3.41331965137398,0.375949961328041
5125,"2020-04-07",77,"Saline","Arkansas",0.205769324228411,61.2419196858052,3.03676021316049,0.170100647088367,58.6715031908191,4.30839369701731,"2020-04-14",84,3.45676723281697,0.176405896560716,0.725267634526387
5127,"2020-04-07",77,"Scott","Arkansas",0,76,0,-0.00668285096312605,76.5,-0.0501213822234453,"2020-04-14",84,0,0,0.0025121529559887
5129,"2020-04-07",77,"Searcy","Arkansas",0.0331854143280655,30.378576224799,1.5139658502163,0.0389905187903361,36.798710589334,1.84040276169467,"2020-04-14",84,1.79175946922805,0.0771692947636466,0.00236616990199242
5131,"2020-04-07",77,"Sebastian","Arkansas",0.0881043739228375,52.1874032314334,2.09799392977154,0.0889101350323998,52.3805517584673,2.81128941280465,"2020-04-14",84,2.28819635554195,0.0361769627689454,0.27362634655644
5133,"2020-04-07",77,"Sevier","Arkansas",0.155118736532496,67.6395178173647,1.29686743297283,0.157345244840232,67.7224463626806,2.56119566246402,"2020-04-14",84,1.92529086185258,0.394916005964978,0.404374915440679
5137,"2020-04-07",77,"Stone","Arkansas",0.0264507064852459,14.9540684277654,1.61470801813558,0.0269699986747914,16.0813374855703,1.83176623800778,"2020-04-14",84,1.94591014905531,0.109694851525772,0.0130288324292283
5139,"2020-04-07",77,"Union","Arkansas",0.118523992215576,56.1504572600649,2.35264704919081,0.128923682505805,57.5499663934182,3.41003573496282,"2020-04-14",84,2.82477447541035,0.222904306588688,0.342530741932941
5141,"2020-04-07",77,"Van Buren","Arkansas",0.0297520476933081,-25.4109754973097,3.01718417962086,0.0314115460082618,-20.1854257225536,3.27262529347433,"2020-04-14",84,3.25258688221051,0.055414432386515,0.000401537925978019
5143,"2020-04-07",77,"Washington","Arkansas",0.0823293580128655,36.8590340217314,3.22245060099426,0.0826527960502623,37.0024179444861,3.88448156448985,"2020-04-14",84,3.65251180994306,0.184952643442501,0.0538099670244989
5145,"2020-04-07",77,"White","Arkansas",0.176408320423983,58.7364425002956,3.0454351830657,0.168495494641132,58.0431215383372,4.37361707573763,"2020-04-14",84,3.32194801000801,0.0764593434636299,1.1060078238126
5147,"2020-04-07",77,"Woodruff","Arkansas",0,70,0,-0.00446670146126642,73.5,-0.0469003653432974,"2020-04-14",84,0,0,0.00219964426933477
6001,"2020-04-07",77,"Alameda","California",0.095973558124794,12.0074186169627,6.14159572892054,0.0968753189466755,12.579820352828,6.91885268254865,"2020-04-14",84,6.70248672797627,0.314598712821731,0.0468142262980164
6003,"2020-04-07",77,"Alpine","California",0.125657214140457,74.9791120137486,0.128281940301809,0.11000252165877,74.8338272762533,1.00830211357197,"2020-04-14",84,0.693147180559945,0.319072739651882,0.099322631801815
