"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.x","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","r.y","lm_mse","grf_mse"
18053,"2020-04-09",79,"Grant","Indiana",2.98856378407538,0.145540971316423,58.2735132584387,4.03533981155876,0.149430147582331,58.7348755245452,4.07423157421785,"2020-04-16",86,3.66356164612965,0.0879631162699882,0.13821900428984,0.168649789835967
18057,"2020-04-09",79,"Hamilton","Indiana",5.78162496142013,0.139696935700669,37.2441621158564,6.81104114993344,0.137243886426741,36.5514538105366,6.78651065719416,"2020-04-16",86,6.17883287133025,0.0508739659919763,0.399687307534402,0.36927229143246
18059,"2020-04-09",79,"Hancock","Indiana",4.30599373411057,0.155122576894705,51.1536362025742,5.40545774766706,0.162350668319225,52.2598329983986,5.47773866191226,"2020-04-16",86,4.78391392143417,0.0583533843094927,0.386316727928222,0.481392770499489
18061,"2020-04-09",79,"Harrison","Indiana",3.64880123054653,0.154000861067672,55.2195334055876,4.74021835960423,0.161197038849149,56.1472175185406,4.812180137419,"2020-04-16",86,4.03297561584581,0.0466634517592524,0.500192298598946,0.607159686440103
18063,"2020-04-09",79,"Hendricks","Indiana",5.30117043553045,0.153804701014985,44.2477650267204,6.42169001677267,0.149204871894185,43.2688770505681,6.37569172556467,"2020-04-16",86,5.82220022947068,0.069217526715491,0.359388005079386,0.306352836248371
18065,"2020-04-09",79,"Henry","Indiana",2.58668934409794,0.237992855766491,67.8485436645635,4.31991692959129,0.238158422456285,67.8542105212236,4.32157259648923,"2020-04-16",86,3.11033565629299,0.0630574300362476,1.46308685671394,1.46709492529595
18067,"2020-04-09",79,"Howard","Indiana",3.53888678443534,0.108019719542403,46.0664767546036,4.31360798130775,0.110466735310884,46.7295524142721,4.33807813899256,"2020-04-16",86,3.96217278911362,0.0553701886273732,0.123506694312526,0.141304832067613
18069,"2020-04-09",79,"Huntington","Indiana",1.58045037556085,0.142873389516485,67.6566895635747,2.6207709370052,0.14457520486363,67.7548998601473,2.63778909047665,"2020-04-16",86,1.81528996663825,0.0266322346454149,0.648799593623284,0.676504808714943
18071,"2020-04-09",79,"Jackson","Indiana",3.63381967693091,0.192814770027504,59.8852422247079,5.03531101476691,0.195859319807638,60.1357392768261,5.06575651256825,"2020-04-16",86,4.23203396499529,0.0803040240944366,0.645254018689795,0.695093286331547
18073,"2020-04-09",79,"Jasper","Indiana",2.65926003693278,0.0892380170107138,48.7208798413971,3.32671475885785,0.0942990506774399,50.184951266608,3.37732509552512,"2020-04-16",86,2.85811089567794,0.0314286044778933,0.219589580587138,0.269583385322941
18079,"2020-04-09",79,"Jennings","Indiana",3.68530163276605,0.126156013272851,49.4896508276045,4.60600009478917,0.129270278493144,50.1283147135941,4.63714274699209,"2020-04-16",86,4.06290303638728,0.05342706191111,0.294954414844785,0.329751245235497
18081,"2020-04-09",79,"Johnson","Indiana",5.25526073422637,0.111433274495155,31.6719865343907,6.05394843728973,0.109630685674745,30.9431287240769,6.03592254908563,"2020-04-16",86,5.77055065112104,0.0697546900863911,0.0803143052053105,0.0704222442293249
18085,"2020-04-09",79,"Kosciusko","Indiana",2.56494935746154,0.171227265937844,63.7428590433488,3.81102939360059,0.180338379752115,64.3621182739525,3.90214053174331,"2020-04-16",86,2.91390225530636,0.0412465454431545,0.804837102264003,0.976614891015072
18087,"2020-04-09",79,"LaGrange","Indiana",1.66500776358891,0.142935289201488,67.3804812209084,2.661386301482,0.147119949924959,67.6256536921366,2.70323290871671,"2020-04-16",86,2.5084371471982,0.119435436313858,0.0233934437961311,0.0379453887055761
18089,"2020-04-09",79,"Lake","Indiana",5.94504656708361,0.15538937281375,40.4930318110698,7.07129924553315,0.151582142212874,39.6012168923744,7.03322693952439,"2020-04-16",86,6.66440902035041,0.100211398324505,0.165559655349266,0.136026657503824
18091,"2020-04-09",79,"LaPorte","Indiana",3.13549421592915,0.147410718457934,57.4446720043628,4.20936141563884,0.153248894010546,58.1515564681905,4.26774317116496,"2020-04-16",86,3.81928095372953,0.0853209064957398,0.152162766763381,0.201118360467104
18093,"2020-04-09",79,"Lawrence","Indiana",3.75118333745009,0.218574256813248,61.5499939051857,5.34414191125344,0.221997498656778,61.7728156297651,5.37837432968873,"2020-04-16",86,4.24440525679783,0.0641323645602774,1.20942070915321,1.28588585827305
18095,"2020-04-09",79,"Madison","Indiana",4.73745079671096,0.168561612016238,50.6689711805374,5.95545517200079,0.172048791759823,51.1823944349518,5.99032696943664,"2020-04-16",86,5.56561449933555,0.10891049650154,0.151975750064085,0.180380682259366
18097,"2020-04-09",79,"Marion","Indiana",7.57184139055365,0.114038406571264,12.3718646570287,8.39643523332582,0.113135625168259,11.8641351314253,8.38740741929577,"2020-04-16",86,8.0036018417921,0.057483610104251,0.154318073503887,0.147306721322927
18099,"2020-04-09",79,"Marshall","Indiana",2.04307389750896,0.152585064812675,65.7420749912761,3.09105680042646,0.157557792944191,66.0658283982556,3.14078408174161,"2020-04-16",86,2.82477447541035,0.104731553751387,0.0709062766159828,0.0998620712936382
18103,"2020-04-09",79,"Miami","Indiana",2.164963715118,0.175747536829973,66.5701248848361,3.41475269240403,0.186741531292828,67.125287917311,3.52469263703258,"2020-04-16",86,2.81626378574244,0.0856453350272279,0.358188971396984,0.501871437340264
18105,"2020-04-09",79,"Monroe","Indiana",3.93741223943297,0.0933230226294942,36.5696901040746,4.61298592900036,0.100694493442185,39.4562370104359,4.68670063712727,"2020-04-16",86,4.45600704767187,0.0732635274917619,0.0246423691831441,0.0532195322158144
18107,"2020-04-09",79,"Montgomery","Indiana",2.72691868540659,0.128724503287929,57.5386416809892,3.66367421251444,0.131495853607728,57.9277253659694,3.69138771571242,"2020-04-16",86,3.11668488397165,0.0533923755477721,0.299197325539682,0.330283344810859
18109,"2020-04-09",79,"Morgan","Indiana",4.26267987704132,0.129037568314351,45.5331321366843,5.22174622638043,0.136050393172406,47.1035708786597,5.29187447496098,"2020-04-16",86,4.62076228074793,0.046643109013613,0.361181702908011,0.450391577221458
18111,"2020-04-09",79,"Newton","Indiana",1.38629436111989,0.254494210071767,73.4761961955207,3.18723555631474,0.237572996877845,73.2964374569584,3.01802342437553,"2020-04-16",86,3.12299405316492,0.268338873966964,0.00412697072694902,0.0110188329084391
18113,"2020-04-09",79,"Noble","Indiana",2.30258509299405,0.213591446219358,67.845716677707,3.87759962988452,0.215800740794644,67.9291974565169,3.89969257563738,"2020-04-16",86,2.89037175789616,0.0748187738704613,0.974618871230653,1.01872851312579
18115,"2020-04-09",79,"Ohio","Indiana",0,0,73,0,0.060797156851067,76,0.607971568510669,"2020-04-16",86,0,0,0,0.369629428117323
18117,"2020-04-09",79,"Orange","Indiana",2.19722457733622,0.216093177793283,68.5902626004504,3.76212547921523,0.226930269761048,68.9441158159798,3.87049639889288,"2020-04-16",86,2.86627420631711,0.0865007982499279,0.802549503153187,1.00846221206169
18119,"2020-04-09",79,"Owen","Indiana",2.72691868540659,0.0611624022587096,34.1852355313093,3.16911546737435,0.0711521169480663,40.0560034685411,3.26901261426792,"2020-04-16",86,2.94443897916644,0.027115151813202,0.0504795243534392,0.105348044602987
18127,"2020-04-09",79,"Porter","Indiana",4.26468992796934,0.185590760598034,55.7128779893622,5.62101001027973,0.191727020469014,56.3621712000272,5.68237260898953,"2020-04-16",86,4.79579054559674,0.0703643856528151,0.680987164891674,0.786027755129821
18129,"2020-04-09",79,"Posey","Indiana",1.6094379124341,0.0533228185196385,48.2047199311676,2.01535086000926,0.0652766254755063,53.2947412030511,2.13488892956794,"2020-04-16",86,1.66500776358891,0.00796611812135095,0.1227402852094,0.220788310141812
18133,"2020-04-09",79,"Putnam","Indiana",3.04452243772342,0.15500724224026,59.261650983764,4.14463774306431,0.162860574842367,60.0687942850933,4.22317106908538,"2020-04-16",86,3.57954279007647,0.0679641492185466,0.319332305892329,0.414257361539967
18135,"2020-04-09",79,"Randolph","Indiana",1.74296930505862,0.15043312849566,67.0778176871644,2.8465230832851,0.154325533558616,67.3028533426796,2.88544713391466,"2020-04-16",86,2.28819635554195,0.0787376985404784,0.311728734912375,0.356708492266814
18137,"2020-04-09",79,"Ripley","Indiana",4.17877324183889,0.131923934575466,47.0087535933058,5.14387863997259,0.138536334766916,48.3925185356406,5.21000264188709,"2020-04-16",86,4.44433051801004,0.0314878001264988,0.48936757494133,0.586253801282401
18139,"2020-04-09",79,"Rush","Indiana",2.46080909820894,0.157093610119888,62.9562221012682,3.62003026091266,0.16697558041693,63.7281806441559,3.71884996388308,"2020-04-16",86,2.72691868540659,0.0370992645719615,0.797648286302935,0.983927661219998
18141,"2020-04-09",79,"St. Joseph","Indiana",4.75972894580469,0.139440946002564,44.6637234389405,5.76396950789773,0.140352848688634,44.8673219767292,5.77308853475843,"2020-04-16",86,5.41355748920031,0.0884206419616568,0.122788582847604,0.12926257272012
18143,"2020-04-09",79,"Scott","Indiana",2.13162729485041,0.214486517276462,68.7192527775085,3.70648728768709,0.222371807341187,68.9774276083188,3.78534018833434,"2020-04-16",86,2.78147766965702,0.0944024509984917,0.855642793448129,1.00773995640517
18145,"2020-04-09",79,"Shelby","Indiana",3.81614123372486,0.166112247046191,55.9088472983139,4.99850899148715,0.171463417297636,56.5358683874123,5.0520206940016,"2020-04-16",86,4.378448813326,0.0724809504400774,0.38447462454124,0.453699078436866
18149,"2020-04-09",79,"Starke","Indiana",1.38629436111989,0.200550342950114,72.0636226465396,2.79494525771869,0.209396250134587,72.2299142047188,2.88340432956342,"2020-04-16",86,2.21297293430436,0.103757435239033,0.338691785220274,0.449478255749015
18153,"2020-04-09",79,"Sullivan","Indiana",1.18958406687384,0.0814417428930714,63.8134832508426,1.8069085927777,0.0808872273780819,63.7299396206536,1.8013634376278,"2020-04-16",86,1.74296930505862,0.0866489947159428,0.00408823251402296,0.00340987471850722
