"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","mu.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
22015,"Bossier","Louisiana",83,"2020-04-13",5.1273595684044,-43.0507802961434,0.042357096384349,2.68094799747987e-06,5.63564472501659,5.42733455193498,5.42385924309484,16.364369603391
22017,"Caddo","Louisiana",83,"2020-04-13",6.81407234592197,-57.4804654849093,0.0502956077212546,4.69382243351454e-06,7.41761963857702,7.16690940096325,7.16614159997075,13.7814654592
22019,"Calcasieu","Louisiana",83,"2020-04-13",5.41736943790772,-2.94858049190155,0.0669235878503107,4.02806781845024e-06,6.22045249211145,5.883855853036,5.88583455285989,10.3572925903244
22027,"Claiborne","Louisiana",83,"2020-04-13",3.62243435470578,-1.93744269168893,0.0452679344808365,2.28809449022916e-06,4.16181813210303,3.9456624143028,3.93930989607164,15.3121009056284
22031,"De Soto","Louisiana",83,"2020-04-13",4.66747406932424,-2.80646478964394,0.0579007539824636,3.78923634882709e-06,5.37356428576735,5.07407423896244,5.07277934720149,11.9712980036474
22033,"East Baton Rouge","Louisiana",83,"2020-04-13",6.9786130770786,-42.6551908562622,0.0578393107462098,5.2026558420273e-06,7.67268480603312,7.38140970499015,7.38348825230207,11.9840152245481
22037,"East Feliciana","Louisiana",83,"2020-04-13",4.07753744390572,29.4693250368066,0.0834594441639126,2.51014364253475e-05,5.05185648729458,4.65930160933841,4.66175355305311,8.30519766221566
22045,"Iberia","Louisiana",83,"2020-04-13",4.75359019110636,11.6414727675552,0.0716349561896572,1.98056879177243e-06,5.61320966538225,5.25521087664148,5.25503488443396,9.67610252632532
22047,"Iberville","Louisiana",83,"2020-04-13",5.29760282561017,5.79913510628281,0.0733731214080118,2.03584659195478e-06,6.17808028250631,5.80734079634241,5.81121467546625,9.44688146365623
22051,"Jefferson","Louisiana",83,"2020-04-13",8.41192790931879,-102.975232743841,0.0464811001029369,2.50112614830477e-06,8.96970111055403,8.738717317246,8.73729561003935,14.9124521369956
22055,"Lafayette","Louisiana",83,"2020-04-13",5.75935232581101,-49.6792173025476,0.0451079858373795,1.85233701289746e-06,6.30064815585956,6.07695129654562,6.07510822667267,15.3663961645026
22057,"Lafourche","Louisiana",83,"2020-04-13",6.01266675475859,-28.6948362938558,0.0563538683184131,1.50801841959564e-05,6.68891317457955,6.40407428083508,6.40714383298748,12.2999041812621
22063,"Livingston","Louisiana",83,"2020-04-13",4.67149282891917,-4.67073290670107,0.0565072143994566,3.4737966087028e-06,5.34957940171265,5.06717823203691,5.06704332971537,12.2665253972705
22071,"Orleans","Louisiana",83,"2020-04-13",8.53360070609219,-137.486232947712,0.0396016051204667,1.60208810836242e-05,9.00881996753779,8.83025615322023,8.81081194193546,17.5030072253742
22073,"Ouachita","Louisiana",83,"2020-04-13",5.77720994321102,-10.5329994607813,0.0652548764686351,2.92185485794964e-06,6.56026846083464,6.23057208916388,6.23399407849147,10.6221514478402
22075,"Plaquemines","Louisiana",83,"2020-04-13",4.8553728854163,-32.2502645155868,0.0440395576985656,3.18477249026793e-06,5.38384757779909,5.16797908133726,5.16364978930626,15.7391948689467
22079,"Rapides","Louisiana",83,"2020-04-13",5.01348836307866,-13.997320677404,0.054496025820783,1.63855458367623e-06,5.66744067292806,5.39581133382241,5.39496054382414,12.7192243860029
22087,"St. Bernard","Louisiana",83,"2020-04-13",5.79822647857268,-52.0256057066719,0.0445929588026919,5.69609834023628e-06,6.33334198420498,6.11519468927654,6.11037719019152,15.5438705834003
22089,"St. Charles","Louisiana",83,"2020-04-13",5.90028866644211,-49.6435876532879,0.0462247166106674,1.24795706084931e-06,6.45498526577012,6.22241063745523,6.22386168271678,14.9951634403311
22093,"St. James","Louisiana",83,"2020-04-13",5.25898236114936,-63.7074044964246,0.0371115565897056,4.06353269451457e-06,5.70432104022583,5.52647201728655,5.5187632572773,18.6773944360021
22095,"St. John the Baptist","Louisiana",83,"2020-04-13",6.19673503688748,-40.6145906974088,0.0522426035486278,2.13148496030333e-06,6.82364627947101,6.56059248460994,6.56243326172787,13.2678529299322
22097,"St. Landry","Louisiana",83,"2020-04-13",4.55387689160054,28.172709124737,0.0914083050982002,8.50629091916229e-06,5.65152786772121,5.1922362777996,5.19373502728794,7.58297815297303
22099,"St. Martin","Louisiana",83,"2020-04-13",4.90527477843843,13.281494146527,0.0757940053428349,2.21770873966277e-06,5.81480284255245,5.43237744952697,5.43583281583827,9.14514515263668
22101,"St. Mary","Louisiana",83,"2020-04-13",4.58933112195835,19.3432725058149,0.0782404903583022,6.11527713784621e-06,5.52821700625798,5.13521233715123,5.13701455446646,8.85918758159208
22103,"St. Tammany","Louisiana",83,"2020-04-13",6.67275601129156,-79.7636129600299,0.042295912765272,5.32054601942834e-06,7.18030696447482,6.96999257348927,6.96882740064846,16.3880416627176
22105,"Tangipahoa","Louisiana",83,"2020-04-13",5.70473440238158,3.63142322088238,0.0767089360782745,1.55124330730244e-06,6.62524163532087,6.23768899481354,6.2416969549295,9.03606823398844
22109,"Terrebonne","Louisiana",83,"2020-04-13",5.4324735639414,-39.3657267045863,0.0462867117724677,6.35770838943926e-06,5.98791410521101,5.75936542399624,5.75648054634867,14.9750793265951
22117,"Washington","Louisiana",83,"2020-04-13",4.85203026391962,10.0837468037153,0.0713504301530168,3.38657405934673e-06,5.70205904177232,5.35112669452756,5.35148327499074,9.71468818160501
22119,"Webster","Louisiana",83,"2020-04-13",4.03550406219917,-20.6854514359565,0.0411328800001059,2.89930802264923e-06,4.55281139167274,4.33118788012618,4.32343422219991,16.8514137730731
22121,"West Baton Rouge","Louisiana",83,"2020-04-13",4.09196077086682,10.5605525638268,0.061155670234634,4.20950553689834e-06,4.85817265102815,4.52222097772288,4.52005046250926,11.3341441259751
23005,"Cumberland","Maine",83,"2020-04-13",5.49658257373913,-97.7812086616034,0.0312694548842283,6.92623507131427e-06,5.87181603234987,5.7443921706812,5.71546875792873,22.1669096287814
23011,"Kennebec","Maine",83,"2020-04-13",3.49650756146648,52.606895559518,0.132783178974972,0.000130361068369735,4.96517527935036,4.30931213363468,4.42598981429129,5.22014298731764
23019,"Penobscot","Maine",83,"2020-04-13",3.44771739729705,-4.52415228711921,0.0420738945284956,2.93619611406089e-05,3.97699921372371,3.75197317288207,3.74223465899652,16.4745191365751
23031,"York","Maine",83,"2020-04-13",4.87519732320115,-37.3190070210544,0.0423739215919876,5.46336623833021e-06,5.39500562067988,5.17527327968738,5.17181477434506,16.357871882479
24003,"Anne Arundel","Maryland",83,"2020-04-13",6.30575377455028,15.4844971580874,0.100867040780206,1.04512852816788e-05,7.51615826391275,7.01293605012724,7.01182306001172,6.8718897193618
24005,"Baltimore","Maryland",83,"2020-04-13",6.945876486802,9.66272759474055,0.101641113880153,3.36331475329697e-06,8.16556985336383,7.65961650434281,7.65736428396307,6.81955513963818
24009,"Calvert","Maryland",83,"2020-04-13",4.26869794936688,38.4331674633233,0.107885763800021,2.89420589672835e-06,5.56332711496713,5.02196919375984,5.02389829596703,6.42482526095636
24013,"Carroll","Maryland",83,"2020-04-13",5.32995445149122,7.37364144660113,0.0754669299205249,4.34447125152896e-06,6.23555761053752,5.86420258178114,5.85822296093489,9.18478042355647
24015,"Cecil","Maryland",83,"2020-04-13",4.11787505963229,40.3916511004575,0.109493641176106,5.60939798514522e-06,5.43179875374556,4.88328231464132,4.88433054786503,6.33047885808375
24017,"Charles","Maryland",83,"2020-04-13",5.32995445149122,27.3143387102473,0.104809661414434,3.11289902359022e-06,6.5700629353189,6.06575888474676,6.06362208139226,6.61339013222386
24021,"Frederick","Maryland",83,"2020-04-13",5.65048215500888,36.6464438288796,0.136638361441693,1.91284725791045e-05,7.29014249230919,6.59319824080235,6.60695068510073,5.07285928524348
24025,"Harford","Maryland",83,"2020-04-13",4.63611498983751,39.3941852866991,0.119284680953315,1.37366661389544e-05,6.03649846245868,5.466705581916,5.47110775651072,5.81086502491652
24027,"Howard","Maryland",83,"2020-04-13",5.72591664882347,4.61442670859479,0.078025099375957,7.98459595948836e-06,6.66221784133495,6.27819260516084,6.27209234445517,8.88364367496768
24031,"Montgomery","Maryland",83,"2020-04-13",7.17887233455922,7.78246244348156,0.102237597391975,2.97000506305791e-06,8.40572350326292,7.89455459457975,7.89453551630305,6.77976789597711
24033,"Prince George's","Maryland",83,"2020-04-13",7.40514822985975,10.845435634642,0.110270214688188,1.77633966438826e-06,8.728390806118,8.17157719312028,8.17703973267706,6.28589671762194
24037,"St. Mary's","Maryland",83,"2020-04-13",4.25459902498738,40.2428760389951,0.111237269643275,6.87710364335571e-06,5.53484661472418,5.03076273500319,5.03325991249031,6.2312494974282
24043,"Washington","Maryland",83,"2020-04-13",4.19612725653204,43.9893660810724,0.12324991016718,2.14342243684795e-05,5.67080649724285,5.05624629198048,5.0588766277023,5.62391631458178
24510,"Baltimore city","Maryland",83,"2020-04-13",6.51577033243067,10.8358182124901,0.0970125766296817,6.53362271056575e-06,7.67992125198685,7.20004306749966,7.19485836883844,7.14492084058174
25001,"Barnstable","Massachusetts",83,"2020-04-13",6.11399818552296,-63.2688781867141,0.0432791586087498,1.5805847402511e-05,6.63334808882796,6.42943017443442,6.41695229578421,16.0157268034275
25003,"Berkshire","Massachusetts",83,"2020-04-13",5.70805903142346,-50.1765221452198,0.0445327969263858,2.44533795267122e-05,6.24245259454009,6.02909460402619,6.01978860990816,15.5648696780878
25005,"Bristol","Massachusetts",83,"2020-04-13",6.98113849877038,1.64455168282682,0.0914294742893972,6.53537582212226e-06,8.07829219024315,7.6224808025913,7.62114481879616,7.58122242249759
25009,"Essex","Massachusetts",83,"2020-04-13",7.86606500297471,-5.79688821541372,0.0938706098817619,4.47278443216725e-06,8.99251232155585,8.51889395035449,8.52315927214704,7.38407027964369
25011,"Franklin","Massachusetts",83,"2020-04-13",4.87846352098777,-22.3481572277937,0.0486153772601274,6.2903590607738e-06,5.4618480481093,5.22407049496189,5.21877116180866,14.2577764407979
25013,"Hampden","Massachusetts",83,"2020-04-13",7.22392067958266,-5.21613282417977,0.0868091370557373,1.42462525252056e-05,8.26563032425151,7.83209215250038,7.83158463897282,7.98472607917872
